stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,hatching.gland,heart,immune,iridophores,lateral.line,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,paraxial.mesoderm,periderm,pgc,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,30.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,2.63,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,23.66,2.63,0,2.63,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.62,0,0,6.29,0,3.15,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,2,1,0,0,0,0,0
 24-34,0,0,0,0,0,0,0.82,0,0,0,0,0,0,0,0,0.82,0,0.82,0,0,11.49,1.64,0,0,2.46,0,0,0,0.82,1.64,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0.81,0,0,0.81,0,0,0,2.42,0,0,8.06,0,0,0,0.81,0,0,0,0,3.22,0,0,0,0,1.61
 48-58,0,0,0,0,0,0,6.89,0.57,0,0,1.72,0,0,0.57,0,0,0,0.57,0.57,1.15,10.33,0.57,0.57,0,1.72,0,0,0.57,0,2.3,0,0,0,0,1.15
 60-70,0,0,0,1.96,0,0,5.89,0,0,0,0.98,0.98,0.98,0,0,0,0,1.96,0,0,6.87,0.98,0.98,0,0,0,0,0,0,0,0,0,0,0,0.98
 72-82,0,0,0,0,0,0,10.8,0,0.98,0,2.94,0,0,0,0,0,0,5.89,0,0.98,12.76,1.96,0,0,0.98,0,0,0,0,1.96,0,0.98,1.96,0.98,0.98
 84-94,0,0,0,3.19,0,0,8.5,0,2.12,1.06,0,0,0,1.06,0,0,0,3.19,0,0,8.5,3.19,1.06,0,7.43,0,0,0,0,0,1.06,0,1.06,0,0
 96-106,0,1.09,0,2.19,0,0,3.28,0,0,0,2.19,0,0,0,0,0,0,6.56,0,0,3.28,0,0,0,2.19,0,0,0,0,0,0,0,0,1.09,0
108-118,0,0,0,0,0,1.53,0.77,0,0,0,1.53,0,0,0.77,0,0,0.77,2.3,0,2.3,6.89,2.3,0,0,4.6,0,0,0,0,0.77,0,0,0,0,0
120,0,0,0,1.96,0,0,3.92,0,0,0,1.96,0,0,0,1.96,0,0,1.96,0,0,5.88,3.92,0,0,5.88,0,1.96,0,0,1.96,0,1.96,0,0,0
