stage,axial,blastomeres,endoderm,epidermis,eye,mesenchyme,neural,notochord,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,somites,spinal.cord,vasculature
  3-4,0,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,6.13,0,0,0,0,0,6.13,0,0,0,0,0,0,0
  7-9,0,0,5.26,0,0,0,23.66,0,0,5.26,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,12.59,0,0,9.44,0,0,0,0,0
 14-21,0,0,0,6,1,0,5,0,1,2,0,2,0,10,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0.82,0.82,0
 36-46,0,0,0,0,0,0,0.81,0,0,0,0,0,0,0,0
 48-58,0,0,0,0,0,0,1.72,0,0,0,0,0,0,0.57,0
 60-70,0,0,0,0,0,0.98,0.98,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0.98,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,2.12,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,1.09,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0.77,0,1.53,0,0,0,0.77,0,0,0,0.77
120,0,0,0,0,1.96,0,1.96,0,0,0,0,0,0,0,0
