stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,30.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.14,2.63,0,0,28.92,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.65,6.29,0,0,53.5,0,0,0,15.73,0,0,0,0,0,0,0,0
 14-21,0,0,1,8,4,9,0,1,0,5,1,0,0,0,0,0,10,0,0,1,183,0,3,0,2,0,1,3,0,0,4,61,0,0,0,0,0
 24-34,0,0,0.82,4.93,0,17.24,0,0,0.82,5.75,0,1.64,0,0,0,0,2.46,0,0,4.1,364.46,0,6.57,4.1,0,0,2.46,0,0,0,1.64,142.01,0,0,0,0,0
 36-46,0,0,0,0,0,19.34,0.81,0,0,7.25,0,0,0,0,0.81,0,4.03,0,0,1.61,674.35,0,0.81,1.61,0.81,0,0.81,0,0,0,0,227.2,0,0,0,0,0
 48-58,0,0,0,3.44,0,92.38,0,0.57,0,14.92,0,0.57,0,0,1.15,0.57,6.31,0,0,1.72,812.51,0,1.72,1.15,0,0,2.3,0,0,0.57,0,212.31,0,0,0.57,0,1.15
 60-70,0,0,0,2.94,0,308.2,0.98,0,0,39.26,0,0,0,0,0,0,6.87,0,0,0.98,1258.31,0.98,0.98,0,0,0,0.98,0,0,0,0,208.08,0,0.98,0,0,0.98
 72-82,0,0,0,10.8,0.98,498.68,5.89,0.98,1.96,69.7,0,0,5.89,0,0,0,23.56,1.96,0.98,4.91,1486.24,0,0.98,3.93,0,0,1.96,0,0,0,0,131.54,0,1.96,0.98,0,1.96
 84-94,0,0,0,12.74,0,329.23,4.25,0,0,36.11,0,0,1.06,2.12,0,0,15.93,0,1.06,5.31,728.56,0,1.06,2.12,0,0,4.25,0,0,0,0,87.09,0,1.06,0,2.12,0
 96-106,0,0,0,9.84,3.28,283.05,7.65,1.09,0,45.9,0,0,3.28,0,0,0,17.49,0,3.28,1.09,671.01,1.09,1.09,1.09,0,1.09,2.19,0,0,1.09,0,41.53,0,0,1.09,1.09,0
108-118,0,0,0,8.43,2.3,252,1.53,0,0,41.36,0.77,0,1.53,0.77,0,0,14.55,0,0.77,3.83,756.77,0,0,2.3,0,0,1.53,0,0,0.77,0,30.64,1.53,0,3.06,0.77,0.77
120,0,0,0,19.6,0,229.29,1.96,1.96,3.92,47.03,1.96,0,0,0,0,0,13.72,0,5.88,3.92,828.99,1.96,5.88,0,0,0,1.96,0,0,0,0,45.08,0,0,0,0,0
