stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,3.15,0,22.03,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,2,1,2,0,0,0,0,1,0,0,0,4,0,0,0,0,0,7,0,0,14,4,8,0,0,0,10,0,5,1,11,1,0,0,0,0,0
 24-34,0,0,0,4.1,0,0.82,0,0,0,0,0,0,0,31.19,0,0,0,0,0,27.09,0,0,9.03,6.57,0,0,0,0,9.85,0,0,0.82,0.82,2.46,0,0,11.49,0,0
 36-46,0,0,0,4.03,0,0.81,0.81,0,0.81,4.03,0,0,0,57.2,0,0,0,0,0,39.48,0.81,0,4.83,9.67,0,0,0,0,6.45,0,0,1.61,0,3.22,0,0,18.53,0,0
 48-58,0,0,0,0.57,0.57,1.72,0,0.57,1.15,3.44,0,0,0,63.12,0,0,0,0.57,0,88.37,0,0,6.31,19.51,0,0,0,2.87,4.59,0,0,1.72,0,1.72,0,0.57,4.59,0,0
 60-70,0,0,0,5.89,0.98,5.89,0.98,0,8.83,9.82,0,0,0,86.37,0,0.98,0,0,0,219.86,0,2.94,8.83,42.21,0,0,0,4.91,9.82,0,0,3.93,0,4.91,0,8.83,2.94,0,0
 72-82,0,0,1.96,12.76,0,25.52,0,0,14.72,14.72,0,0.98,2.94,112.89,0,0,0.98,0,0,479.05,0.98,4.91,24.54,79.51,0.98,0,0,6.87,4.91,0,0,1.96,0,7.85,0,28.47,8.83,5.89,0.98
 84-94,0,0,1.06,22.3,0,20.18,0,1.06,9.56,4.25,0,0,3.19,166.74,2.12,1.06,0,0,1.06,355.78,0,4.25,11.68,43.54,0,0,0,3.19,15.93,0,0,0,0,7.43,0,16.99,8.5,4.25,0
 96-106,0,0,1.09,15.3,3.28,21.86,2.19,4.37,6.56,7.65,3.28,0,8.74,148.63,0,1.09,1.09,1.09,0,406.54,2.19,13.11,14.21,73.22,1.09,1.09,0,6.56,2.19,1.09,0,3.28,0,2.19,1.09,24.04,15.3,14.21,0
108-118,0,0,2.3,20.68,0,13.79,1.53,1.53,6.13,3.06,3.06,0,6.89,116.43,0,3.06,0,0.77,0,389.88,0,8.43,9.19,67.4,0.77,0.77,0,5.36,9.96,0,0,0.77,0,4.6,0,18.38,6.13,11.49,0
120,0,1.96,0,29.4,3.92,11.76,0,0,3.92,1.96,0,0,3.92,150.9,0,0,0,0,0,225.38,0,17.64,5.88,60.75,0,0,0,5.88,11.76,1.96,0,0,0,3.92,1.96,15.68,1.96,9.8,0
