stage,axial,blastomeres,endoderm,epidermis,eye,fin.mesenchyme,glial,ionocyte,liver,mesenchyme,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,spinal.cord,vasculature
  3-4,0,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,55.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,2.63,0,0,2.63,0,0,0,0,0,0,60.46,10.51,0,31.54,0,0,0
 10-12,0,3.15,3.15,0,6.29,0,0,0,0,0,0,15.73,0,0,0,0,3.15,0
 14-21,0,0,0,5,0,0,0,0,0,0,0,5,0,0,0,0,1,0
 24-34,0,0,0,0.82,0,0,0,0,0,0.82,0,3.28,0,0,0,0.82,1.64,0
 36-46,0,0,0,0,0,0,0.81,0,0,0,0,6.45,0,0,0,0,0,0
 48-58,0,0,0,0.57,0.57,0,1.15,0,0,0.57,0,6.89,0,0.57,0,0,0.57,0.57
 60-70,0,0,0,0,0,0,0,0,0,0,0.98,2.94,0,0,0,0,0,0
 72-82,0,0,0,0,0,0,0.98,0,0,0.98,0.98,0,0,0.98,0,0,2.94,0
 84-94,0,0,0,1.06,0,0,1.06,0,0,1.06,0,0,0,1.06,0,0,0,0
 96-106,0,0,0,0,1.09,0,3.28,1.09,0,0,0,0,0,1.09,0,0,0,0
108-118,0,0,0,1.53,0,0.77,3.06,0.77,0,0,0,1.53,0,1.53,0,0,0,0
120,0,0,0,1.96,0,0,5.88,0,1.96,0,0,1.96,0,1.96,0,0,0,0
