stage,axial,blastomeres,epidermis,erythrocytes,eye,fast.muscle,glial,heart,liver,mesenchyme,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,visceral.smooth.muscle
  3-4,0,131.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0
  5-6,6.13,30.65,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,6.13,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,15.77,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,0,0,0,3.15,0,0,0
 14-21,0,0,2,1,3,0,0,0,0,0,0,0,10,0,0,0,0,2,0,4,1,0
 24-34,0,0,0,0,1.64,0,0,0,0,0.82,0,0,9.03,0.82,0,0,0,0,0,1.64,0.82,0
 36-46,0,0,0,0,0,0,0,0,0,1.61,0,0,6.45,0,0,0,0,0,0,0,0.81,0
 48-58,0,0,0.57,0,0.57,0,0.57,0,0,0.57,0,0,5.16,0.57,0,0,0,0,0,0,0,0
 60-70,0,0,0,0,4.91,0,1.96,0,0.98,0.98,0,0,24.54,0,0,0,0.98,0,0,0,1.96,0
 72-82,0,0,0,0,2.94,0,0,0,0,2.94,0,0,6.87,0,0,0,0,0,0,0,0,0
 84-94,0,0,1.06,0,2.12,0,0,1.06,0,2.12,0,0,7.43,0,0,0,0,0,0,0,1.06,0
 96-106,0,0,0,0,8.74,0,5.46,0,0,1.09,1.09,1.09,9.84,0,0,0,1.09,0,0,0,1.09,0
108-118,0,0,0.77,0,2.3,0,0.77,0,0,1.53,0.77,0,7.66,0.77,0.77,0,0.77,0,0,0,0,0.77
120,0,0,1.96,0,0,1.96,0,0,0,0,0,0,15.68,0,0,0,0,0,0,0,0,0
