stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,ionocyte,lateral.line,liver,mesenchyme,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vasculature
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0
  5-6,30.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0
  7-9,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,21.03,0,0,7.89,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,18.88,0,0,15.73,0,0,0,0,0,0,0
 14-21,0,0,8,0,0,0,0,0,0,0,0,0,1,1,6,0,2,1,0,4,2,1,1,1,0
 24-34,0,0,0.82,0.82,0,0,0,0.82,0,0,0,0,0,1.64,4.93,0,4.1,0,0,0,9.85,0,0,0.82,0.82
 36-46,0,0,0,0,0,0.81,0,1.61,0,0,0,0,0.81,0,1.61,0.81,0.81,0,0,0,1.61,0,0,1.61,0
 48-58,0,0,0,0,1.15,0,0,0,0,0,0.57,0,0,0.57,2.3,0,5.16,0,0.57,0,2.3,0,0,1.15,0
 60-70,0,0,0,0,0,0,0,0,0,0,1.96,0,3.93,0,5.89,0,2.94,0,0,0,0.98,0,0,0,0
 72-82,0,0,0.98,0,0.98,0,0,0,0,0.98,1.96,0,0,0,0.98,0,16.69,0,0,0,0,0,0,0.98,0
 84-94,0,0,0,0,2.12,0,1.06,0,1.06,0,5.31,0,0,0,2.12,0,12.74,0,0,0,2.12,0,0,0,0
 96-106,0,0,0,0,1.09,0,0,0,0,0,5.46,0,1.09,0,6.56,0,16.39,0,0,0,1.09,0,0,0,0
108-118,0,0,0,0,0,0.77,0,0,0,0.77,4.6,0.77,0,0,0,0,17.62,0,0.77,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,0,0,0,1.96,0,0,0,9.8,0,0,0,1.96,0,0,0,0
