stage,axial,blastomeres,endocrine_pancreas,epidermis,eye,fin_mesenchyme,glial,gut,heart,iridophores,liver,mesenchyme,mural_cell,muscle,neural,otic,paraxial_mesoderm,periderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,13.18,79.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,9.44,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,0,0,2,0,1,0,0,0,0,0,0,1,10,0,1,0,0,0,0,4,0,0,0,0
 24-34,0,0,0,0,3.28,0,0,0,0,0,0,0,0,3.28,28.73,0,0,0,0,0,0.82,5.75,0,0,0,0
 36-46,0,0,0,0,2.42,0,0.81,0,0,0,0,0,0,2.42,43.51,0,0,0,0,0,0,16.11,0,0,0,0
 48-58,0,0,0,0,5.74,0,1.15,0,0,0,0,3.44,0,4.59,78.61,0,0,0.57,0,0.57,0,12.05,0,0,0,0
 60-70,0,0,0,0.98,21.59,0,1.96,0,0,0,0,15.7,0,0,138.39,0,0,0,0,0,0,20.61,0,0,0,0
 72-82,0,0,0,0.98,28.47,0,4.91,0,0,0,0.98,19.63,0.98,3.93,146.27,0,0,0.98,0,0,0,16.69,0,2.94,0,3.93
 84-94,0,0,0,3.19,25.49,2.12,4.25,0,1.06,0,0,9.56,3.19,1.06,69.03,1.06,0,0,0,0,0,12.74,0,2.12,1.06,4.25
 96-106,0,0,0,2.19,14.21,0,4.37,0,0,0,0,24.04,0,3.28,69.94,2.19,0,0,0,0,0,5.46,0,1.09,0,0
108-118,0,0,0.77,1.53,26.04,0,2.3,0.77,0,2.3,0,25.28,0.77,3.06,74.3,0.77,0,0,0,0,0,6.13,0.77,1.53,0,2.3
120,0,0,0,0,9.8,0,0,0,0,0,0,27.44,0,7.84,92.11,0,0,5.88,0,0,0,7.84,0,0,0,3.92
