stage,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,glial,gut,heart,immune,ionocyte,iridophores,melanocytes,mesenchyme,muscle,neural,olfactory,pericytes,periderm,slow.muscle,somites,spinal.cord,taste,vasculature,xanthophores
  3-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0
 14-21,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0
 24-34,0.82,0,0,2.46,0,0,0,0,0,0,0,0,0,1.64,9.03,0.82,0,0,3.28,1.64,0.82,0,0,0
 36-46,0,0,0,4.03,0,0,0,0.81,0,0,0,1.61,0.81,0.81,0.81,0.81,0,2.42,4.03,0.81,1.61,0,0.81,0
 48-58,0,0,2.3,5.16,0,0,0,0.57,0,0,0,2.3,1.72,0.57,4.59,3.44,0,0.57,2.87,0,0,0,0,0
 60-70,0,0,4.91,2.94,0,0.98,0,0,0,0,0.98,1.96,0,0.98,1.96,2.94,0,0,1.96,0,0,0,0,0
 72-82,0,0.98,2.94,0.98,0,0,0.98,0,0,0,0,0,1.96,0.98,2.94,2.94,0.98,0.98,0,0,0,0,0,0
 84-94,0,0,1.06,5.31,1.06,2.12,0,0,0,1.06,0,0,1.06,1.06,1.06,1.06,0,0,1.06,0,0,1.06,0,0
 96-106,0,0,2.19,5.46,0,1.09,0,0,1.09,0,0,2.19,0,3.28,8.74,1.09,0,3.28,2.19,0,0,0,0,0
108-118,0.77,0,3.06,7.66,0,0.77,1.53,1.53,0,0,0,0.77,1.53,2.3,1.53,2.3,0,0,6.13,0,0,0,0,0.77
120,1.96,0,0,7.84,0,0,0,1.96,0,0,0,0,0,0,0,13.72,0,0,5.88,0,0,0,0,0
