stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,hatching_gland,heart,immune,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,316.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,30.65,429.07,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,6.13,6.13,0,0,6.13,6.13,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,2.63,23.66,0,0,42.06,0,0,0,15.77,0,0,0,0,0,0,0,0,0,270.76,10.51,0,0,94.63,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,15.73,0,3.15,12.59,0,0,0,0,0,0,0,0,0,0,0,0,0,157.35,0,0,0,84.97,3.15,0,0,3.15,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,5,4,3,0,3,1,0,0,0,0,0,0,3,0,0,2,47,3,0,0,1,0,0,4,0,0,4,12,0,0,0,0,0
 24-34,0,0,0,1.64,0,13.95,0,2.46,0,0,0.82,0,0,1.64,0,13.13,0,0,3.28,66.49,0.82,0,2.46,0,4.93,0,0,0,0,1.64,14.78,0,0,0.82,0,0
 36-46,0,0,0,2.42,0,16.11,0.81,2.42,0,0,0,0.81,0.81,0,0,17.72,0,0.81,3.22,28.2,0.81,0,0.81,0,0.81,0,0,0,0,0,8.06,0,0,0,0,0.81
 48-58,0,0,0,1.15,0,12.62,0,5.74,0,0,0,0,0,0.57,0,12.62,0,0.57,2.3,20.66,1.15,0,0.57,0,2.3,0,0,0,0,0,4.59,0,0,0.57,0,0
 60-70,0,0,0,0.98,0,8.83,0,3.93,0,0,0,0,0,0,0,10.8,0,0.98,1.96,18.65,1.96,0.98,0,0,2.94,0,0,0,0,0,0.98,0,0,0.98,0,0.98
 72-82,0,0,0,1.96,0.98,5.89,0.98,8.83,0,0,0,0,0,0,0,15.71,0,0.98,0.98,14.72,1.96,0,0.98,0,0.98,0,0,0,0,0,0.98,0,0,3.93,0,0.98
 84-94,0,0,0,4.25,0,5.31,1.06,2.12,1.06,0,0,0,0,1.06,0,6.37,1.06,0,0,12.74,1.06,0,2.12,0,0,0,0,0,0,0,0,0,1.06,0,1.06,0
 96-106,0,0,0,3.28,0,3.28,0,2.19,0,0,0,1.09,0,0,0,5.46,0,0,3.28,8.74,0,1.09,1.09,0,4.37,0,0,0,0,0,1.09,0,0,2.19,0,0
108-118,0,0,0,3.06,0.77,3.06,0.77,3.83,0.77,0,0,0,0,0.77,0,4.6,0,0.77,0,8.43,0,0,0,0,0.77,0,0,0,0.77,0,0,0,0,0.77,0,0
120,0,0,0,5.88,0,5.88,1.96,1.96,0,0,1.96,0,0,0,1.96,3.92,0,0,0,13.72,0,0,1.96,0,1.96,0,0,0,0,0,0,1.96,0,3.92,0,0
