stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,immune,iridophores,melanocytes,mesenchyme,mural_cell,muscle,neural,olfactory,otic,pericytes,periderm,slow_muscle,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,105,0,0,0,1,0,1,97,0,0,0,0
 24-34,0,0.82,2.46,0,4.1,0,0,0,0.82,0.82,0,0,0,1.64,0,0,581.17,0,0,0,0,0,0,261.85,0,0.82,0,0
 36-46,0,0,0.81,0,8.86,0,1.61,0,2.42,0,0,0,0,1.61,0,0,568.8,0.81,0,0,0.81,0,0,289.24,0,0,0,0
 48-58,0,0,0,0.57,27.54,0,0,0.57,4.59,0.57,1.15,0,0.57,8.03,0.57,0.57,296.08,0.57,0.57,0.57,0.57,0.57,0,125.66,0,0,0,1.15
 60-70,0.98,0,0.98,0,30.43,0.98,0,0,1.96,0,0,0,0,6.87,0,1.96,217.9,0,0,0,0,0,0,53,0,0,0,0
 72-82,0,0,0,0,34.36,0,0,0,3.93,0,0,0,0,4.91,0,0,144.3,0,0.98,0,0,0,0,28.47,0,0,0.98,1.96
 84-94,1.06,0,0,0,19.12,0,0,1.06,2.12,0,0,1.06,0,3.19,0,0,72.22,0,0,0,0,0,0,11.68,1.06,0,0,0
 96-106,0,0,1.09,0,26.23,0,2.19,0,3.28,0,0,0,0,3.28,0,0,65.57,0,0,0,2.19,0,0,15.3,0,0,0,0
108-118,0,0,0.77,0,29.87,0,0,0,2.3,0,0,0,0,0.77,0.77,0,74.3,0,0,0,0.77,0,0,6.13,0,0,0,0
120,0,0,1.96,0,23.52,0,0,0,9.8,0,0,0,0,3.92,0,0,88.19,0,0,0,1.96,0,0,11.76,0,0,0,0
