stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,131.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.53,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,104.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,2.63,0,2.63,0,0,0,7.89,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,78.86,5.26,0,0,18.4,5.26,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,9.44,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,88.12,3.15,0,0,12.59,3.15,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,0,1,21,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,17,0,1,0,0,5,0,6,2,1,3,2,0,1,0,0
 24-34,0,0,0,0.82,9.03,0,0,4.1,0,0,0,0.82,0,0,0,1.64,0.82,0.82,0,2.46,0.82,0,1.64,13.95,0,3.28,1.64,0,13.13,0,0,0.82,0,0,4.93,0,0,0,0
 36-46,0,0,0.81,0,1.61,0,0,2.42,0.81,0,0,2.42,0,0,0,0,0.81,0,0,1.61,0.81,0,0,38.67,0,7.25,0.81,0,9.67,0,0,0,0,0,7.25,0,0,0,0
 48-58,0,0,0,0,1.72,0,0,2.87,0,0,0.57,1.15,0,0,0,0.57,0.57,0,0.57,2.3,0.57,0,0,20.08,0,2.87,1.15,0,3.44,0,0,0,0,0,5.16,0,0,0,0
 60-70,0,0,0.98,0,3.93,0.98,0,3.93,0,0,0,5.89,0.98,0.98,0,0.98,1.96,0,0,1.96,0,0,0,38.28,0,0,2.94,0,17.67,0,0,0,0,0,9.82,0,0,0,0.98
 72-82,0,0,1.96,0,4.91,0,0,11.78,0,0.98,0,7.85,3.93,0.98,0,0.98,4.91,2.94,0,1.96,0.98,0,0.98,59.88,0,5.89,3.93,0,11.78,0,0,0.98,0,0,4.91,0,0,0,0
 84-94,0,0,2.12,0,6.37,1.06,0,7.43,0,1.06,0,9.56,4.25,2.12,0,4.25,4.25,0,0,6.37,0,0,1.06,27.61,0,2.12,4.25,0,39.3,0,0,0,0,0,2.12,4.25,0,1.06,1.06
 96-106,0,0,1.09,0,15.3,2.19,1.09,8.74,0,1.09,0,6.56,7.65,0,1.09,1.09,7.65,0,1.09,1.09,2.19,1.09,2.19,51.36,0,4.37,6.56,0,26.23,0,0,0,0,0,2.19,0,1.09,0,0
108-118,0,0,1.53,0,18.38,3.06,3.06,6.13,0,0.77,0,5.36,5.36,0,0,9.96,3.83,0,0,3.06,0.77,0.77,0,45.96,0.77,4.6,7.66,0,27.57,0.77,0,1.53,0,0,2.3,1.53,0,0,0
120,0,0,0,0,17.64,0,0,3.92,0,1.96,0,0,3.92,0,0,1.96,1.96,1.96,0,7.84,0,1.96,0,39.2,0,1.96,13.72,0,33.32,0,0,0,0,0,0,1.96,0,0,0
