stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,0,92.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.89,0,0,0,0,0,0,0,0
  5-6,6.13,73.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.65,0,0,0,0,0,0,0,0
  7-9,5.26,0,0,0,0,0,7.89,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,36.8,2.63,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.47,0,0,0,12.59,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,0,0,2,2,2,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,11,1,1,0,1,0,1,0,2,3,0,0,0,0
 24-34,0,0,1.64,1.64,3.28,0,0.82,0.82,0,0,0,0,0,0,0,2.46,0,0,0,4.1,0,0,2.46,50.07,0,0.82,2.46,0,6.57,1.64,0,3.28,7.39,0,0,0,0
 36-46,0,0,0,0,1.61,0,4.83,3.22,0,0,0,0,0,0,0,0,0,0,0.81,8.86,0,1.61,2.42,52.37,0,0,1.61,0,3.22,0,0,0,8.86,0,0,0.81,0
 48-58,0,0,0,0,0.57,0,12.62,4.02,1.15,0.57,2.87,0,0,0,0.57,0.57,0.57,0,0,9.18,0.57,0,0.57,43.61,0,1.15,4.59,0,1.72,0,0.57,0,6.31,0,0,0.57,0
 60-70,0,0,0,0,0.98,0,39.26,6.87,0.98,0,4.91,0,0,0,0,0,0,0,0,9.82,0.98,0,0,50.06,0,0.98,4.91,0,1.96,0,0.98,0,2.94,0,0,0,0.98
 72-82,0,0,0,0,0,1.96,66.75,3.93,0,0,5.89,0.98,0,0,0,1.96,0.98,0,0,13.74,0,0,0,45.16,0,0.98,20.61,0,1.96,0,0,0,7.85,0,0.98,0.98,0.98
 84-94,0,0,1.06,0,7.43,1.06,58.41,6.37,1.06,1.06,4.25,4.25,0,1.06,0,0,2.12,0,0,8.5,1.06,0,4.25,53.1,0,1.06,32.92,0,3.19,1.06,1.06,0,4.25,1.06,0,2.12,0
 96-106,0,0,0,0,3.28,2.19,65.57,7.65,0,1.09,5.46,3.28,0,0,1.09,0,12.02,0,0,4.37,0,0,1.09,30.6,0,2.19,25.14,0,3.28,0,3.28,0,1.09,0,0,2.19,0
108-118,0,0,0,0,3.06,0.77,52.09,6.89,0.77,0,3.83,0,0,0,0,0,5.36,1.53,0,6.13,0,0,3.83,35.23,1.53,0,26.81,0,4.6,0,2.3,0,0,5.36,0,0,0
120,0,0,0,0,1.96,0,45.08,7.84,1.96,1.96,7.84,1.96,0,0,3.92,0,9.8,0,0,1.96,0,0,1.96,17.64,0,1.96,21.56,0,3.92,1.96,0,0,0,5.88,0,0,0
