stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,ionocyte,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,otic,periderm,spinal_cord,vascular_smooth_muscle,visceral_smooth_muscle
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0
 14-21,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
 24-34,0,0,3.28,0,0,0.82,0,0,0,0,0,0,0,0.82,0.82,0,0,0,0,0
 36-46,0,0,0,0,0.81,0.81,0,0,0,5.64,0,0,0.81,0.81,0,0,0,0,0,0
 48-58,0,0,0,0,0.57,0.57,0,0,0,29.84,0,0,2.87,1.72,0,0,0,0.57,0,0
 60-70,0,0,0,0,0,0,0.98,0.98,0.98,50.06,0,0,5.89,1.96,0,0,0.98,1.96,0.98,0
 72-82,0,0.98,0,0,6.87,0.98,1.96,0,0,122.71,0,0.98,7.85,1.96,0,0,0,0,0,0
 84-94,0,0,2.12,0,6.37,1.06,2.12,0,0,87.09,1.06,0,6.37,1.06,0,1.06,0,0,0,0
 96-106,0,0,1.09,0,3.28,0,0,0,0,103.82,0,0,6.56,8.74,0,0,0,0,1.09,1.09
108-118,0,0,2.3,0.77,0.77,1.53,0.77,0,0,78.89,0,1.53,3.06,6.13,0,0,0,0,0.77,0
120,0,0,0,0,1.96,1.96,0,0,0,101.91,0,0,7.84,3.92,0,0,0,0,0,0
