stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,158.14,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79.69,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,2.63,10.51,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,12.59,0,0,0,0,0,0,0,0
 14-21,1,0,0,136,13,9,0,0,0,1,0,0,26,0,0,1,0,0,4,0,2,1,0,1,24,1,1,5,0,6,1,3,224,1,4,3,0,0,0,0,0
 24-34,0,0,0.82,104.25,4.93,0.82,0,1.64,0,0.82,0,0.82,41.04,0,0,0.82,0,0,25.45,0.82,0.82,0,0,0,24.63,0,2.46,0.82,0,0.82,0,0,118.2,0,0,5.75,0,0,0.82,0,0
 36-46,0,0,0,15.31,2.42,0,0,3.22,0,0.81,0,0.81,45.92,0,0,0,0,0,33.84,0.81,0,0,0,0,12.89,0,0.81,0.81,0,1.61,0,0,59.62,0,0,9.67,0,0,0.81,0,0
 48-58,0,0,0,10.9,1.15,0.57,0,3.44,0.57,0,0,1.15,58.53,0,0,0,0,0,27.54,0,1.72,0.57,0,0,16.64,0,0,0,0,1.15,0,0,35.58,0,0,5.74,0,0,0,0,0
 60-70,0.98,0,2.94,1.96,0.98,0,0,18.65,0,0,0,1.96,119.75,0,0,0,0,0,28.46,0,5.89,0,0,0,37.3,0,0,0.98,0,0,0,0,41.22,0,0,3.93,0,0,0.98,0,0
 72-82,0,0,11.78,5.89,0,0.98,8.83,21.6,0,1.96,1.96,1.96,273.88,0,0,0,0.98,0,16.69,0,13.74,0,0,0.98,65.77,0,1.96,0.98,0,3.93,0,0,55.95,0,0,6.87,0.98,0,1.96,0.98,0.98
 84-94,0,0,8.5,13.81,5.31,0,9.56,8.5,0,0,0,1.06,500.22,0,1.06,1.06,0,1.06,50.98,0,8.5,0,1.06,3.19,40.36,0,0,3.19,0,7.43,0,0,118.95,0,0,6.37,0,0,0,0,0
 96-106,0,0,19.67,19.67,9.84,5.46,20.76,19.67,1.09,2.19,1.09,6.56,556.26,1.09,1.09,3.28,1.09,0,50.27,0,20.76,1.09,2.19,0,97.26,1.09,1.09,5.46,0,8.74,2.19,0,116.93,0,0,3.28,1.09,0,2.19,2.19,0
108-118,0,0,7.66,29.11,5.36,3.06,48.26,15.32,1.53,1.53,0,6.13,513.2,0.77,0,0.77,1.53,0,78.13,0,15.32,1.53,0.77,1.53,58.21,0,1.53,0.77,0,6.89,0,0,86.55,0,0,3.83,1.53,0.77,2.3,0,1.53
120,0,0,3.92,3.92,5.88,3.92,21.56,11.76,0,0,0,1.96,301.81,0,1.96,0,0,0,29.4,0,0,0,3.92,1.96,41.16,0,0,3.92,0,1.96,0,0,54.87,0,0,1.96,0,0,0,0,1.96
