stage,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,0,1,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1,5,0,0,0,0,2,0,95,302,7,0,0,0,0
 24-34,0,1.64,0,0,11.49,10.67,0,0,0.82,0,1.64,0,0.82,0,0,0,0,1.64,0,8.21,16.42,2.46,0.82,0,0,0.82,0,0,29.55,81.26,6.57,0,0,0,0
 36-46,0,0.81,0,0,8.86,70.9,0,0,0.81,0,1.61,0,0,0,0,0,0,3.22,0,7.25,27.39,0,0,0,0,2.42,0,0,50.76,8.86,4.03,0,1.61,0,0
 48-58,0,0,0,0,20.66,63.69,0,0.57,1.15,0,0,0,0,0,0,0,0,6.31,0,10.9,35,2.87,0,0,0,0.57,0,0,53.94,0,5.74,0,0,0,0
 60-70,0,0.98,0,0,55.95,93.24,1.96,0,0.98,0,1.96,0,0,0,0,0,0,5.89,0,10.8,48.09,0,0,0,0.98,0,0,0,37.3,0,7.85,1.96,0,0,0
 72-82,3.93,0.98,0.98,0,102.09,51.05,0.98,0.98,7.85,2.94,0,0,0,0,1.96,0,0,8.83,0,8.83,37.3,0,0,0,0,0.98,0,0,30.43,0,5.89,0.98,0,1.96,0
 84-94,3.19,1.06,1.06,1.06,117.89,116.82,0,0,2.12,0,1.06,1.06,0,1.06,0,0,1.06,11.68,0,10.62,26.55,2.12,1.06,1.06,0,2.12,0,0,48.85,0,2.12,3.19,0,2.12,1.06
 96-106,7.65,4.37,3.28,0,116.93,272.12,0,0,8.74,2.19,1.09,2.19,1.09,0,0,2.19,0,13.11,2.19,14.21,31.69,0,1.09,2.19,0,6.56,0,0,69.94,0,1.09,1.09,1.09,1.09,2.19
108-118,1.53,2.3,3.83,0.77,98.81,232.85,0,0,5.36,3.06,1.53,1.53,0.77,0,0,0.77,0,15.32,0.77,23.74,24.51,1.53,0,0,0.77,3.83,0,0,58.21,0,0,0.77,1.53,3.06,0
120,1.96,0,0,0,137.18,107.79,1.96,0,3.92,7.84,1.96,0,1.96,0,0,0,0,11.76,1.96,21.56,27.44,0,0,0,0,0,1.96,1.96,13.72,0,1.96,0,0,1.96,0
