stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pgc,pronephros,slow.muscle,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
  3-4,39.53,922.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0
  5-6,12.26,367.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.39,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0
 14-21,0,0,1,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121,0,0,30,0,0,0,0,0,45,1,0,0
 24-34,0,0,4.1,0,0.82,0,0,5.75,0,0,0,4.93,0,0,0,0,0,0,0,3.28,0,0,565.57,0,0,61.56,0,0.82,0,0,0,59.1,0.82,0,0
 36-46,0,0,1.61,0,2.42,0,0,10.47,0,0.81,0,49.15,0,0,0,0,0,0,0,2.42,0,0,1257.65,0.81,0.81,52.37,0,0.81,0,0.81,0,103.13,0,0,0
 48-58,0,0,0,0,6.89,0.57,0,49.35,1.15,0.57,0.57,123.94,0,0.57,0,0,0.57,0,0,12.05,2.3,1.15,1708.22,0,0.57,55.09,0,0.57,0,0.57,0.57,118.2,0,0,0
 60-70,0,0,0.98,0,4.91,0.98,0,66.74,0,0,0,160.97,0.98,0,0.98,0,0,0,0,20.61,0,2.94,2190.76,0.98,0,52.02,0,0.98,0,0.98,0,105.02,1.96,0,0
 72-82,0,0,5.89,0,13.74,0.98,0,95.22,0,0,1.96,172.77,0.98,0,1.96,0,0.98,0,2.94,28.47,0,0.98,1798.4,0,0,73.62,0.98,0,0,0.98,0,89.33,0,0.98,0.98
 84-94,0,0,2.12,0,9.56,2.12,0,137,1.06,3.19,0,135.94,0,0,0,0,0,0,2.12,20.18,3.19,3.19,1133.19,1.06,3.19,92.4,0,2.12,0,0,0,73.28,2.12,1.06,0
 96-106,0,0,3.28,0,20.76,1.09,0,87.43,0,0,0,115.84,0,0,2.19,0,1.09,1.09,2.19,18.58,1.09,4.37,790.13,2.19,1.09,115.84,0,5.46,0,2.19,0,14.21,1.09,0,1.09
108-118,0,0,2.3,0,15.32,0.77,0.77,60.51,0.77,0.77,2.3,104.17,0.77,0.77,0,0.77,0,0.77,2.3,5.36,0.77,1.53,962.82,0.77,0.77,96.51,0.77,0,0,0.77,0,16.09,0,0,0
120,0,0,1.96,0,19.6,3.92,0,119.55,0,3.92,0,152.86,0,0,3.92,1.96,0,0,3.92,29.4,1.96,3.92,1334.61,0,3.92,76.43,0,3.92,1.96,0,0,15.68,0,0,0
