stage,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,gut,hatching_gland,immune,ionocyte,lateral_line,mesenchyme,mucous,muscle,neural,notochord,olfactory,paraxial_mesoderm,periderm,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle
  3-4,105.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,73.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,36.8,0,0,10.51,10.51,0,0,0,0,0,0,0
 10-12,3.15,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,53.5,3.15,0,12.59,3.15,0,0,0,0,0,0,0
 14-21,0,1,5,2,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,9,0,0,1,2,0,0,0
 24-34,0,0,0,0.82,0,1.64,0,0,0.82,0,0,0,1.64,0,1.64,2.46,0,1.64,0,0.82,0,2.46,0,0,1.64,4.1,0,10.67,0
 36-46,0,0,0,0,0,0.81,0,0.81,0.81,0,0,0,0.81,0,0,0,0,0,0.81,1.61,0,3.22,0,0,0,5.64,0,4.03,0
 48-58,0,0,0,0,0,1.72,0.57,0,0,0,0,0,0,0,0.57,0,0,1.15,0,0.57,0,0,0,0.57,0,7.46,0,0,0
 60-70,0,0,0,0,0,0.98,0,0,0,0,0,0,0,0,0.98,0,0,1.96,0,2.94,0,1.96,0,0,0,0.98,0,0,0
 72-82,0,0,0.98,0,0,0,0,0,0.98,0.98,0,0,0.98,0,2.94,0,0.98,0,0,0.98,0,7.85,0,0,0,2.94,1.96,0,0.98
 84-94,0,0,1.06,1.06,0,0,0,1.06,0,0,0,0,0,1.06,1.06,0,3.19,0,0,1.06,0,27.61,0,0,0,9.56,2.12,0,0
 96-106,0,0,3.28,0,0,0,0,0,1.09,1.09,0,0,3.28,0,1.09,0,0,1.09,0,2.19,0,28.41,0,0,0,3.28,0,0,1.09
108-118,0,0,6.89,0,0,1.53,0,0,0.77,0.77,0,0.77,0.77,0,3.83,0,0,2.3,0,1.53,0,17.62,0,3.06,0,6.89,0.77,0.77,0
120,0,0,9.8,0,1.96,0,0,0,0,0,0,1.96,0,0,0,1.96,0,1.96,0,0,0,7.84,1.96,0,0,1.96,0,0,3.92
