stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,65.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,20,0,0,14,20,3,0,0,0,0,0,0,4,1,4,0,0,0,7
 24-34,0,0,0,0.82,14.78,0,0,2.46,5.75,0,13.13,0,0,5.75,0.82,0.82,2.46,0.82,0,3.28,129.7,0,2.46,97.68,56.64,4.93,0.82,0,0,0,0.82,0,18.06,10.67,9.85,0,0.82,0,69.77
 36-46,0,0,0,0,4.03,0,0,2.42,14.5,0.81,25.78,1.61,0,8.06,0,0,16.11,0,0,12.09,253.79,0,20.14,139.38,59.62,2.42,0,0,0,0,1.61,0.81,20.14,0,7.25,1.61,0.81,0,127.3
 48-58,0,0,0,0,2.87,0.57,0,12.05,16.64,0,20.66,10.33,0,7.46,0.57,0,41.31,0,0,10.33,363.79,0.57,54.51,72.3,65.99,0,0,0.57,0,6.89,0.57,0.57,10.9,0,4.02,4.02,0,0.57,129.68
 60-70,0.98,0,0,0,1.96,0,0,9.82,16.69,1.96,11.78,51.04,0,2.94,0.98,0,102.08,0,2.94,4.91,590.88,0,87.36,43.19,92.26,0.98,0.98,2.94,0,4.91,1.96,0,3.93,0,1.96,34.35,0.98,27.48,72.63
 72-82,0,0,0,0,10.8,2.94,0,39.27,41.23,2.94,15.71,135.47,1.96,0.98,0.98,0.98,89.33,0.98,1.96,4.91,667.53,0,85.4,39.27,136.45,0,0.98,8.83,0,8.83,0.98,1.96,1.96,0,6.87,47.12,2.94,93.26,58.9
 84-94,0,0,0,0,14.87,1.06,0,58.41,61.6,0,16.99,92.4,1.06,3.19,3.19,1.06,126.38,0,3.19,3.19,495.97,0,107.27,36.11,92.4,0,2.12,6.37,0,4.25,1.06,0,3.19,0,1.06,59.47,1.06,116.82,48.85
 96-106,0,0,0,0,7.65,4.37,0,36.06,69.94,1.09,9.84,96.17,0,0,5.46,1.09,96.17,1.09,3.28,2.19,401.07,0,44.81,25.14,93.98,1.09,1.09,3.28,1.09,10.93,2.19,2.19,2.19,0,6.56,32.79,2.19,118.03,34.97
108-118,0,0,0,0,3.06,0,0.77,19.92,50.55,3.06,6.13,83.49,0,0.77,0.77,0,128.68,0.77,3.83,4.6,295.66,0,47.49,19.15,86.55,0.77,0.77,3.83,0,5.36,2.3,0.77,0,0,2.3,25.28,1.53,75.83,52.09
120,1.96,0,1.96,0,5.88,0,0,21.56,47.03,0,9.8,97.99,0,1.96,1.96,0,70.55,0,1.96,1.96,209.7,0,29.4,15.68,76.43,1.96,0,1.96,0,7.84,0,0,0,0,3.92,17.64,1.96,86.23,17.64
