stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,5.26,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.88,0,0,0,3.15,0,0,3.15,0,0,0,0,0
 14-21,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,0,0,0,0,89,1,2,0,0,0,0
 24-34,0,0,0,0,0.82,0,0,0,0,0.82,0,0,0,0,0,0,20.52,0,0,0,0,0,304.54,0,3.28,0,0,0,0
 36-46,0,0,2.42,0,1.61,1.61,0,0,0,0,0,0,0,0,1.61,0,22.56,0,1.61,0,0,0,252.98,0,4.03,0,0.81,0,0
 48-58,0,0,2.3,0,4.59,2.3,0.57,0,0.57,0,0.57,0,0,3.44,0,0.57,22.95,0,0,0,0,0,202.55,0,2.87,0,1.15,0,0
 60-70,0,0,6.87,0,7.85,5.89,0.98,0,0,0.98,0,0,0,2.94,0.98,1.96,33.37,0,1.96,0,0,0,207.1,0,3.93,0.98,0.98,0,0
 72-82,0,0,15.71,0,22.58,1.96,0.98,0,0.98,4.91,0,1.96,0,3.93,0.98,0,50.06,0,0.98,0,0,0,266.03,0,4.91,0,0,0,0.98
 84-94,0,0,26.55,1.06,6.37,7.43,1.06,0,0,8.5,0,0,0,1.06,2.12,1.06,18.05,0,0,0,0,0,624.48,1.06,1.06,0,1.06,0,0
 96-106,0,1.09,38.25,0,10.93,6.56,2.19,0,0,12.02,0,1.09,0,8.74,8.74,1.09,21.86,1.09,1.09,1.09,0,0,650.24,0,1.09,0,0,1.09,0
108-118,0,0,34.47,1.53,5.36,11.49,1.53,1.53,0,19.15,0,1.53,1.53,0.77,9.96,0.77,14.55,0,1.53,1.53,0,0.77,542.3,0,0,0,0.77,0,0
120,0,0,54.87,0,3.92,11.76,0,0,0,15.68,0,1.96,0,3.92,5.88,1.96,15.68,0,5.88,0,0,0,297.89,0,0,0,0,0,0
