stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,7.89,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0
 14-21,0,2,0,1,5,0,3,0,0,0,4,0,0,0,0,0,0,0,2,1,0,0,0,0,14,0,5,0,0,0,0,1,1,1,1,17,0,0,0,0
 24-34,0,0.82,0,0,0,0,11.49,0,0,0,3.28,0,0,0,0,0,0,0,1.64,4.93,1.64,0,0,0.82,82.09,0,7.39,0.82,0,0,0,0,1.64,3.28,0,22.16,0,0,0,4.1
 36-46,0,0,0,0,0,0,16.11,0,0,0,1.61,0,0,0.81,0,0,0.81,0,0,6.45,0,0,0,0.81,278.76,0,15.31,1.61,0,0,1.61,0,3.22,0,0,34.64,0,0.81,0,3.22
 48-58,0,0.57,0,0.57,0,0,83.2,1.15,0,0.57,6.89,0,0,0,0,0,0.57,0.57,0,4.59,4.02,0,0,1.72,301.25,0,6.89,2.3,0,0,0,0,0,2.3,0,42.46,0,0,0,0.57
 60-70,0,0,0,2.94,0,0,335.68,0,0,0,11.78,0,0,0,0,0,0.98,1.96,0,0,3.93,0,0.98,0.98,719.46,0.98,8.83,1.96,0,0,0.98,0,0.98,1.96,0,41.22,0,0,0,1.96
 72-82,0,3.93,0,5.89,2.94,0,314.13,0,0,0,17.67,0,0,0,0.98,0,0,0,0,0,19.63,0.98,0,0,546.79,0,12.76,4.91,0,0,0.98,0,0,0,0,38.28,0,0,0,1.96
 84-94,0,2.12,0,5.31,0,0,238.96,1.06,0,0,14.87,1.06,0,0,2.12,1.06,2.12,1.06,0,3.19,14.87,0,4.25,2.12,233.65,0,6.37,9.56,0,0,3.19,0,1.06,1.06,0,20.18,0,1.06,0,0
 96-106,0,0,0,3.28,1.09,1.09,137.7,2.19,0,1.09,14.21,1.09,0,0,1.09,0,0,3.28,0,1.09,8.74,0,0,2.19,182.51,0,9.84,12.02,0,1.09,0,0,1.09,1.09,0,5.46,0,0,1.09,2.19
108-118,0,0.77,0,3.06,0,0,93.45,0,0.77,0.77,10.72,1.53,0,0.77,0,0,1.53,0,0,0.77,6.13,0,0,0,213.7,0,7.66,7.66,0,0,0.77,0,0,0,0,7.66,0.77,1.53,0,0.77
120,0,1.96,0,3.92,0,0,62.71,5.88,1.96,0,13.72,1.96,0,0,1.96,0,0,5.88,0,1.96,5.88,0,0,0,194.02,0,7.84,3.92,0,1.96,1.96,0,0,1.96,0,1.96,0,0,0,0
