stage,axial,blastomeres,epidermis,eye,glial,muscle,neural,periderm,spinal.cord
  3-4,13.18,0,0,0,0,0,0,0,0
  5-6,6.13,24.52,0,0,0,0,0,0,0
  7-9,0,0,0,2.63,0,0,5.26,0,0
 10-12,0,0,0,0,0,0,3.15,0,0
 14-21,0,0,0,0,0,0,1,0,0
 24-34,0,0,0.82,0,0,0,4.1,0,1.64
 36-46,0,0,0,0,0,0,14.5,0.81,3.22
 48-58,0,0,0,1.72,0,0,19.51,0,2.87
 60-70,0,0,0,14.72,0.98,0,41.22,0,4.91
 72-82,0,0,0,28.47,1.96,0.98,44.17,0,2.94
 84-94,0,0,0,23.36,1.06,0,10.62,0,5.31
 96-106,0,0,0,20.76,1.09,0,14.21,0,2.19
108-118,0,0,0,13.79,0.77,0,11.49,0,0
120,0,0,0,7.84,0,0,11.76,0,0
