stage,blastomeres,endoderm,epidermis,eye,fin.mesenchyme,glial,iridophores,liver,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,slow.muscle,somites,spinal.cord,visceral.smooth.muscle
  3-4,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0
  5-6,42.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,5.26,0,0,0,0,0,0,0,0,10.51,0,0,0,2.63,0,0,0,0,0,0
 14-21,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0
 24-34,0,0,0,0,0.82,0,1.64,0,0.82,0.82,1.64,0.82,0,0,0,0,0,0,0.82,0,0
 36-46,0,0,0,4.03,0.81,0,12.09,0,0,0,2.42,0,0,0,0,0,0,0,0,0,0
 48-58,0,0,0,4.02,1.15,0,18.36,0,2.3,1.15,1.15,0,0.57,0,0,0.57,0,1.15,0,1.15,0
 60-70,0,0,0,2.94,0,0,37.3,0,0,0,1.96,0,0,0,0,0,0.98,0,0,0,0
 72-82,0,0,0,1.96,0,0,32.39,0,0.98,0.98,3.93,0,0,1.96,0,0,0,0,0,0,0
 84-94,0,0,0,0,1.06,0,38.23,0,1.06,1.06,1.06,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,1.09,0,0,41.53,1.09,2.19,0,3.28,1.09,0,0,0,0,0,0,0,0,1.09
108-118,0,0,1.53,2.3,0,0.77,74.3,0,0.77,0,2.3,0,0,0,0,0,0,0,0,0,0
120,0,0,0,1.96,0,0,21.56,0,1.96,0,0,0,0,0,0,0,0,0,0,0,0
