stage,epidermis,erythrocytes,eye,fin_mesenchyme,glial,gut,liver,mesenchyme,mucous,muscle,neural,periderm,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature
 24-34,0.82,0,13.95,0.82,0,0,0,0.82,0,0.82,22.98,0,0.82,1.64,0,0,0
 36-46,1.61,0,30.62,0.81,0,0,0,1.61,0,0.81,19.34,0.81,0,4.83,0,0,0.81
 48-58,0,0,24.67,0,0.57,0.57,0,1.72,0,0,9.75,1.15,0,1.15,0,0,0
 60-70,0,0.98,36.32,0,0.98,0,0,0.98,0,0,8.83,0,0,2.94,0,0,0
 72-82,0,0.98,31.41,0,0.98,0,0,6.87,0.98,0,6.87,0,0,2.94,0.98,0.98,0
 84-94,0,1.06,25.49,0,0,0,0,0,0,0,2.12,1.06,0,0,0,0,0
 96-106,1.09,0,14.21,0,0,0,1.09,1.09,0,0,1.09,0,0,0,0,0,0
108-118,0.77,0,21.45,0,0.77,0,0,0.77,0,0,3.06,0,0,0,0,0,0
120,0,0,13.72,0,0,0,0,0,0,0,0,1.96,0,0,0,0,0
