stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,glial,gut,hatching.gland,heart,immune,ionocyte,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,118.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,98.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,2.63,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.69,0,0,0,10.51,0,18.4,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,12.59,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,69.23,0,0,0,9.44,0,18.88,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,4,3,0,3,0,0,1,0,0,0,6,10,0,0,0,2,0,0,2,18,0,0,0,0,0,53,2,1,1,5,7,0,0,0,0,0
 24-34,0,0,0.82,1.64,2.46,3.28,0,3.28,0,0,0,0,0,0,11.49,14.78,0,3.28,0,0.82,0,0,0.82,37.76,0.82,0.82,0.82,0,0.82,35.3,0,0.82,0,0.82,4.93,0,0,2.46,0,0
 36-46,0,0,0,0,1.61,0,0,6.45,0,0,0.81,0.81,0,0,16.92,4.03,0,3.22,0,4.83,0,1.61,0.81,35.45,0,0,0,0,0,20.95,0,0,0,0,12.89,0,0,0,0,0
 48-58,0,0,0,0,2.3,1.15,0,11.48,0,0,4.59,0.57,0,0,11.48,1.15,1.15,0,0,7.46,0.57,4.02,2.87,49.92,0,1.72,0,0,0,14.35,0,0,0,0,14.35,0,0.57,0.57,0,0.57
 60-70,0,0,0,0,4.91,0.98,0,15.7,0.98,0.98,2.94,4.91,0,0,13.74,1.96,1.96,0,0,10.8,0,12.76,1.96,35.33,0,0,0,0,0.98,9.82,0,0,0,0,5.89,1.96,3.93,0.98,4.91,0
 72-82,0,0,0,0,6.87,1.96,0,7.85,0,0.98,3.93,0.98,0,0,40.25,10.8,1.96,0,0,3.93,0.98,13.74,0,30.43,0,0,0.98,0,0,17.67,0,0,0,0,2.94,0.98,4.91,2.94,18.65,0
 84-94,0,0,0,0,10.62,4.25,0,15.93,1.06,0,2.12,8.5,0,0,38.23,10.62,0,1.06,0,2.12,1.06,13.81,1.06,15.93,0,1.06,0,0,0,43.54,0,0,0,0,0,5.31,12.74,4.25,20.18,0
 96-106,0,0,0,2.19,25.14,4.37,0,9.84,2.19,0,3.28,6.56,0,2.19,60.11,27.32,0,0,0,8.74,0,16.39,1.09,15.3,1.09,3.28,1.09,0,0,51.36,0,0,0,0,1.09,3.28,7.65,2.19,33.88,0
108-118,0,0,0,0,26.04,3.06,0.77,6.13,0,1.53,3.83,3.83,0,0,43.66,6.89,1.53,0.77,0.77,4.6,1.53,11.49,1.53,19.92,0,0,0.77,0,0,46.72,0,0,0.77,0,0.77,3.83,2.3,3.06,10.72,0
120,0,0,0,0,17.64,7.84,0,1.96,0,1.96,3.92,5.88,0,0,41.16,9.8,1.96,0,0,0,0,9.8,0,9.8,0,0,3.92,0,1.96,27.44,0,0,0,0,1.96,3.92,1.96,3.92,13.72,0
