stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0
 14-21,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,9,56,1,0,0,0,5,1,0,2,23,0,0,0,0,0
 24-34,0.82,0,0.82,4.93,5.75,0,0,9.03,0,0,0,1.64,0.82,14.78,0,0,0,0,0.82,0,56.64,0.82,0,19.7,87.83,0.82,0,0,0,18.06,0,0.82,7.39,51.71,0,0,1.64,0,0
 36-46,0,0,0,0,4.03,0,0,8.86,0,0,0,3.22,0,16.92,0,0,0.81,0,0,0,56.4,0,1.61,16.92,113.6,0,4.03,0,0,18.53,0,0,11.28,49.15,0,1.61,0.81,0,0
 48-58,0,0,0,0,2.3,0,0,16.64,0,0,0.57,16.07,0.57,13.2,0.57,0,0,0,1.72,0,86.07,0,10.33,17.21,107.3,0,1.15,0.57,3.44,7.46,0.57,0,6.31,22.95,0,1.72,1.72,0,0
 60-70,0,0,0,0,6.87,0,0,42.21,0,2.94,0.98,53.98,0.98,7.85,0,0.98,0,0,1.96,0,182.56,0,18.65,21.59,210.05,0,0.98,0.98,6.87,13.74,0,0,8.83,42.21,0,10.8,3.93,0.98,0
 72-82,0,0,1.96,1.96,9.82,0,0,56.94,0,0,1.96,113.87,2.94,11.78,0,0.98,0.98,0.98,0.98,0,236.58,0,46.14,22.58,285.66,0,3.93,5.89,11.78,12.76,0,0,13.74,28.47,0.98,17.67,5.89,11.78,0
 84-94,0,0,1.06,3.19,14.87,0,0,60.54,2.12,2.12,1.06,81.78,12.74,10.62,0,1.06,0,0,5.31,1.06,176.3,2.12,36.11,15.93,144.44,0,0,0,2.12,31.86,0,0,29.74,14.87,3.19,8.5,7.43,16.99,1.06
 96-106,0,0,0,3.28,19.67,1.09,0,56.83,0,1.09,3.28,114.75,6.56,18.58,0,1.09,0,1.09,0,1.09,185.78,2.19,37.16,16.39,142.07,0,3.28,3.28,20.76,39.34,0,0,31.69,13.11,3.28,13.11,17.49,24.04,0
108-118,0,0,0.77,1.53,19.92,0,0.77,32.94,0,3.06,3.06,96.51,4.6,9.96,0,1.53,1.53,0,2.3,0,157.02,0.77,37.53,10.72,203.75,0.77,2.3,3.06,17.62,24.51,0,0,25.28,6.89,1.53,8.43,14.55,6.13,0
120,0,0,1.96,0,23.52,3.92,0,43.12,0,1.96,5.88,105.83,5.88,9.8,1.96,0,0,0,1.96,0,131.31,0,37.24,11.76,227.34,0,1.96,0,11.76,19.6,0,0,21.56,9.8,3.92,11.76,9.8,13.72,0
