stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,52.71,382.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0,0
  5-6,24.52,165.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.03,0,0,0,13.14,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.03,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,1,0,1,16,7,0,1,0,0,0,12,4,0,0,0,0,0,0,0,8,0,0,15,76,1,0,0,0,0,4,1,0,25,0,9,134,0,0,1,0,0
 24-34,0,0,1.64,15.6,6.57,0,8.21,0,0.82,0.82,22.98,5.75,0.82,0.82,0,0,2.46,1.64,2.46,33.66,0,0.82,55,226.56,6.57,1.64,0.82,0,0,3.28,0.82,1.64,16.42,1.64,7.39,260.21,0,0,3.28,0,0
 36-46,0,0,0,0,3.22,0,3.22,0,0,0.81,15.31,4.83,0,2.42,0.81,0,0.81,2.42,0,48.34,0,0,39.48,309.38,8.86,7.25,0.81,0,0,2.42,0,1.61,7.25,0,0,217.53,0,0,1.61,0,0
 48-58,0,0,0,0,1.15,0.57,17.21,0.57,0,4.02,12.05,2.87,0.57,0,0,1.15,1.15,0.57,0.57,63.69,0,2.3,17.21,246.16,0.57,6.89,0.57,0,0,1.72,0,0,4.02,0,0,70.58,0,0,1.72,0,1.15
 60-70,0,0,0.98,0,0,0.98,38.28,0,0,0.98,20.61,0,0,8.83,0,0,0.98,0.98,0,56.93,0,0.98,3.93,519.23,0,3.93,0.98,0,0,3.93,0,0,2.94,0,0,63.8,0,1.96,0.98,0,0
 72-82,0,0,1.96,0.98,2.94,0,53.01,0,0,2.94,19.63,0.98,1.96,6.87,0.98,0,0.98,0,0,39.27,0.98,3.93,5.89,341.62,0.98,4.91,1.96,0,0,3.93,0,0,0.98,0,0,21.6,0,0,4.91,0,1.96
 84-94,0,0,2.12,0,3.19,2.12,36.11,1.06,0,0,11.68,5.31,1.06,12.74,2.12,4.25,0,2.12,1.06,33.99,0,3.19,4.25,187.98,0,2.12,1.06,0,0,5.31,0,0,7.43,0,0,12.74,1.06,0,7.43,0,0
 96-106,0,0,0,0,3.28,1.09,16.39,1.09,1.09,1.09,10.93,1.09,0,7.65,0,1.09,0,2.19,0,17.49,0,0,0,126.77,2.19,5.46,2.19,0,2.19,4.37,0,0,2.19,0,0,2.19,1.09,0,1.09,1.09,0
108-118,0,0,0,0,5.36,0,13.02,0.77,0,0,9.19,1.53,0,9.19,0,1.53,0.77,2.3,0.77,14.55,0,0,1.53,137.87,0.77,6.13,1.53,0,0,2.3,0,0,1.53,0.77,0,2.3,1.53,0,5.36,0,1.53
120,0,0,0,0,1.96,0,13.72,3.92,0,1.96,13.72,0,0,13.72,0,1.96,0,0,0,5.88,0,0,0,135.23,0,1.96,1.96,0,0,3.92,0,0,11.76,0,0,5.88,0,0,1.96,0,0
