stage,axial,blastomeres,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,liver,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,10,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,10,0,0,0,1,1,4,0,0,0,0,0
 24-34,0,0,23.8,0,0,5.75,0,0,0,0,5.75,0,0,0,3.28,1.64,0,0,23.8,0,0,0,0,0,0.82,2.46,0,1.64,0,0.82
 36-46,0,0,4.83,0,4.03,4.03,0,2.42,0,0,10.47,0,0,0,2.42,0,0.81,1.61,25.78,0,0,0.81,0,0,0,5.64,0,0.81,0,0
 48-58,0,0,8.03,0,8.03,3.44,0,1.72,0,0,3.44,0,0,0,1.15,0,0,0.57,22.38,0,0,0,0,0,0,2.87,0,0.57,0,0
 60-70,0,0,10.8,0,7.85,6.87,0.98,1.96,0,0,8.83,0,0.98,0,0.98,0,0,0,14.72,0,0,0,0,0,0,0.98,0,0.98,0,0
 72-82,0,0,9.82,0.98,8.83,3.93,0,1.96,0,0,31.41,0,0.98,0,1.96,1.96,0,0,22.58,0.98,0,0,0,0,0,0,0,2.94,0.98,0
 84-94,0,0,36.11,0,6.37,9.56,0,2.12,0,0,41.42,0,2.12,0,0,2.12,0,0,5.31,0,0,0,0,0,0,1.06,1.06,1.06,0,0
 96-106,0,0,32.79,0,1.09,7.65,0,2.19,1.09,0,51.36,1.09,0,0,3.28,1.09,0,0,9.84,4.37,0,1.09,0,0,0,0,1.09,1.09,0,0
108-118,0,0,38.3,0.77,3.83,6.13,0,0,0.77,0.77,59.75,0.77,0.77,0.77,2.3,0.77,0,0,12.26,1.53,0,0,0,0,0,0.77,0,1.53,0.77,0.77
120,1.96,0,27.44,5.88,0,3.92,0,1.96,0,0,54.87,1.96,0,0,3.92,0,0,0,1.96,1.96,0,0,0,1.96,0,1.96,0,0,0,0
