stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,13.18,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.14,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,6.29,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,6.29,3.15,0,0,9.44,0,0,0,6.29,0,0,0,0,0,0,0
 14-21,0,0,0,141,0,0,1,0,12,0,0,1,0,0,0,0,0,1,0,3,0,0,5,9,23,0,0,0,1,1,35,1,23,73,11,0,0,1,0
 24-34,0,0,0,37.76,0,0,0,0,44.33,0.82,0,0,0,0,0,0,0,3.28,0,4.1,0,0,4.1,10.67,0.82,0.82,1.64,0,0,0,0.82,0,4.93,15.6,1.64,0,0,9.03,0
 36-46,0,0,0,18.53,0,0,0.81,0,21.75,0.81,0,0.81,0,0,0,0,3.22,0,1.61,6.45,1.61,0,4.83,7.25,0,0,0.81,0,0,0,0,0.81,0.81,0,2.42,0,0,12.89,0
 48-58,0,0,0,9.18,0.57,0,4.02,0.57,18.36,1.72,0.57,0,0,0.57,0,0.57,5.16,1.15,0,8.61,0,0,18.36,14.92,0,0,2.87,0,0,0,0,1.15,0.57,0,2.3,0,0,16.07,0
 60-70,0,0,0,18.65,0,0,6.87,3.93,12.76,0.98,0,0,0,0,0,3.93,5.89,3.93,0,7.85,0,0.98,16.69,14.72,0,0,0.98,0,0.98,0,0.98,0,0.98,0,0.98,0,0,15.7,0
 72-82,0,0,0,13.74,0,0,3.93,1.96,6.87,6.87,4.91,6.87,0,0.98,0.98,3.93,1.96,7.85,1.96,17.67,0,0,15.71,31.41,0,0.98,4.91,0,0.98,0,0,2.94,0.98,0,0,0.98,0,46.14,0
 84-94,0,0,0,41.42,0,0,6.37,3.19,8.5,5.31,0,1.06,0,0,4.25,8.5,4.25,6.37,0,22.3,1.06,0,15.93,15.93,0,2.12,2.12,0,2.12,0,0,2.12,2.12,0,3.19,1.06,0,35.05,0
 96-106,0,0,0,43.71,1.09,0,2.19,6.56,5.46,1.09,2.19,3.28,0,1.09,0,8.74,2.19,16.39,3.28,25.14,0,0,24.04,13.11,0,3.28,5.46,0,1.09,0,0,4.37,1.09,0,1.09,1.09,0,48.09,0
108-118,0,0,0,39.06,0.77,0.77,4.6,6.13,8.43,1.53,2.3,4.6,0,0,0.77,6.89,9.96,12.26,1.53,7.66,1.53,0.77,26.81,21.45,0,2.3,3.83,0,2.3,0,0,5.36,0,0,0,0.77,0.77,29.11,1.53
120,0,0,0,60.75,0,0,0,1.96,11.76,1.96,1.96,3.92,0,0,0,9.8,3.92,9.8,1.96,15.68,0,0,37.24,27.44,0,1.96,1.96,0,0,0,0,5.88,1.96,0,1.96,0,0,33.32,1.96
