stage,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,iridophores,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,slow_muscle,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,2.63,0,0,0,0,0,0,0,0
 10-12,3.15,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,6.29,3.15,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,2,1,0,0,0,0,0,0,0,0,0,3,0,0,2,7,0,0,0,0,0,0,0,6,0,0,0,0
 24-34,0,8.21,0,2.46,0.82,0,0,1.64,0,0,0,0,24.63,0,0.82,5.75,123.13,0.82,0,0.82,0,0,0,0,19.7,0,0,0,0
 36-46,0,4.83,0,8.06,0.81,0,0.81,1.61,0,0,0,0,53.98,0,0.81,10.47,375.44,0,0.81,0.81,0,0,0.81,0.81,34.64,0,0.81,0,0
 48-58,0,1.15,0,17.79,1.15,1.72,1.72,5.74,0,1.15,0.57,0,65.99,0.57,0.57,7.46,445.27,0.57,0,1.72,0,0,0,0,36.72,0,0,0,0
 60-70,0,0.98,0,46.13,0.98,0,2.94,18.65,0,0,0.98,0,117.78,0,1.96,9.82,748.9,0,0,0,0,0,0,0,43.19,0,0.98,0,1.96
 72-82,0,3.93,0.98,60.86,0,1.96,2.94,31.41,0.98,0.98,0,0,145.29,0,4.91,9.82,597.83,0,0,2.94,0,0.98,0.98,0,35.34,0,1.96,0.98,0
 84-94,0,8.5,0,64.78,1.06,1.06,1.06,18.05,0,1.06,0,0,75.4,0,5.31,8.5,329.23,1.06,0,2.12,0,0,1.06,0,21.24,2.12,0,3.19,0
 96-106,0,4.37,1.09,27.32,0,2.19,2.19,26.23,1.09,0,0,1.09,68.85,0,4.37,4.37,225.13,0,2.19,2.19,0,2.19,2.19,0,12.02,1.09,2.19,0,1.09
108-118,0,5.36,2.3,29.87,0.77,0.77,3.06,16.09,2.3,2.3,0.77,0.77,56.68,0.77,1.53,1.53,313.28,0.77,0.77,1.53,0,0,0,0,9.19,0.77,0,1.53,0
120,0,0,0,47.03,1.96,0,0,41.16,0,1.96,0,1.96,33.32,1.96,5.88,3.92,390,0,0,0,0,0,0,0,13.72,0,0,3.92,0
