stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,xanthophores
  3-4,421.69,9672.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,474.41,0,0,0,0,0,0,0,0
  5-6,1526.28,16206.76,0,24.52,0,0,0,0,0,0,0,0,55.17,0,0,0,0,0,0,0,0,275.83,36.78,0,0,98.07,0,361.65,0,0,0,0,0,0,0,0
  7-9,94.63,78.86,0,244.47,0,0,157.72,0,0,0,0,0,110.41,0,0,0,0,0,0,0,0,2754.89,102.52,0,0,1122.46,0,5.26,0,0,0,0,0,0,0,0
 10-12,0,12.59,0,28.32,0,0,40.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,163.64,12.59,0,0,125.88,0,0,0,0,9.44,0,0,0,0,0
 14-21,0,0,0,0,1,1,2,0,0,0,1,0,0,0,0,1,0,0,6,0,3,33,1,0,1,1,0,1,0,5,1,4,12,0,1,0
 24-34,0,0,0,0,1.64,0,10.67,0,0,0,0,0,0,0,0,0,0,0,5.75,0,4.1,43.51,0.82,0.82,0,0,0,1.64,0,0,0.82,2.46,12.31,0,0,0
 36-46,0,0,0,0,2.42,0,9.67,0,0,0,0,0,0,0,0,0,0,0,0.81,0,0.81,15.31,0,0,0,0,0,0,0.81,0,0,0,4.83,0,0.81,0
 48-58,0,0,0,0,0,0,12.05,0,0,0,1.72,0,0,0.57,0,0,0,0,7.46,0,1.15,20.66,0,0,0.57,0,0,0,0,0,0,0,5.74,0,1.15,0
 60-70,0,0,0,0,0,0,8.83,0,0,1.96,8.83,0,0,0,0,0.98,0,0,11.78,0,1.96,19.63,0,0,0.98,0,0,0,0,0,0,0,2.94,0,1.96,0
 72-82,0,0,0.98,0,0.98,0,19.63,0,0,0,8.83,0.98,0,0,0,0,0.98,0,12.76,0,0.98,22.58,0,0,1.96,0,0,0,0,0,0,0,3.93,0,3.93,0
 84-94,0,0,0,0,0,0,6.37,1.06,0,1.06,3.19,0,0,0,0,0,0,0,6.37,1.06,1.06,9.56,0,0,0,0,0,2.12,0,0,1.06,0,1.06,0,0,0
 96-106,0,0,0,0,2.19,0,6.56,0,0,0,5.46,1.09,0,0,2.19,0,1.09,1.09,16.39,0,0,8.74,0,3.28,1.09,0,0,4.37,0,0,0,0,1.09,0,3.28,0
108-118,0,0,0,0,3.06,0,4.6,0,0.77,0,6.13,1.53,0,0,0.77,0,0,0,4.6,0,0.77,16.85,0.77,0,2.3,0.77,0.77,0.77,0,0,0,0,0.77,0.77,1.53,0.77
120,0,0,0,0,0,0,3.92,0,1.96,0,1.96,0,0,3.92,0,0,0,0,0,0,0,9.8,0,0,0,0,0,0,0,0,0,0,0,0,0,1.96
