stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vasculature,xanthophores
  3-4,144.96,1396.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,210.85,0,0,0,0,0,0,0
  5-6,55.17,901.06,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,30.65,0,0,0,12.26,79.69,0,0,0,0,0,0,0
  7-9,5.26,2.63,0,5.26,0,0,0,5.26,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,160.35,0,0,0,55.2,5.26,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,3.15,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.06,0,0,0,6.29,15.73,0,0,0,0,0,0,0
 14-21,0,0,0,1,12,0,0,0,0,0,0,1,0,0,5,0,0,0,2,0,0,1,11,0,0,1,0,6,1,1,1,0,0,0,0
 24-34,0,0,0,0.82,5.75,0,0,0.82,0,0,0,2.46,1.64,4.93,0,0,0.82,0.82,0,2.46,0,0,7.39,0,0,2.46,0,15.6,0,0,0,1.64,0,0,0
 36-46,0,0,0,0,4.03,0,0,0,0,0,0,0.81,0.81,13.7,0,0,0.81,0,0,0,0,0,11.28,0,3.22,0.81,0,12.89,0,0,0,1.61,0,1.61,0
 48-58,0,0,0,0,7.46,0.57,0,1.72,0,0,0.57,0.57,0,22.38,0,0,1.72,0,0,0.57,0,0,10.33,0,0,0.57,0,13.2,0,0.57,0,1.15,0,1.72,0
 60-70,0,0,0,0,12.76,0,0,0.98,0.98,0,0,2.94,0,36.32,0.98,0,0.98,0,0.98,0,0,0,4.91,0,0,0,0,20.61,0,0,0,0,1.96,6.87,0
 72-82,0,0,0,0,38.28,1.96,0,3.93,0.98,0.98,2.94,7.85,0,31.41,0.98,0,1.96,2.94,1.96,1.96,0,0,10.8,0,0,1.96,0,59.88,0,0.98,0,0,10.8,10.8,0
 84-94,0,0,3.19,0,55.23,0,0,4.25,1.06,0,0,18.05,0,49.92,8.5,0,0,0,3.19,6.37,0,1.06,7.43,0,4.25,1.06,0,154,0,2.12,0,1.06,19.12,12.74,0
 96-106,0,0,2.19,0,96.17,0,1.09,6.56,3.28,2.19,3.28,28.41,0,87.43,10.93,1.09,2.19,2.19,3.28,6.56,1.09,0,18.58,0,2.19,0,0,194.53,0,1.09,0,0,29.51,13.11,1.09
108-118,0,0,0,0.77,84.26,0.77,0,3.06,3.06,0,5.36,15.32,0,58.98,12.26,0,0,0.77,4.6,6.89,0,0,9.96,0.77,2.3,3.06,0,167.75,0,0.77,0,0.77,15.32,8.43,0
120,0,0,3.92,0,58.79,0,0,1.96,0,0,0,11.76,0,58.79,9.8,0,0,0,3.92,3.92,0,1.96,9.8,0,0,0,0,188.14,0,0,0,0,7.84,11.76,0
