stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0,0,0,0
  5-6,49.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,2.63,0,0,7.89,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,39.43,2.63,0,0,13.14,0,0,0,0,0,0,0,0,0,0,0
 10-12,3.15,0,0,0,0,12.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.09,3.15,0,0,12.59,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,1,3,4,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,23,0,2,1,1,0,4,0,0,3,19,0,0,1,0,0
 24-34,0,0,0,0,0.82,13.95,0,0,0,1.64,0.82,0,0.82,0,0,0,0,0,4.1,2.46,0,3.28,59.1,0,4.93,0.82,0,0,0,0,0,0,17.24,0,0,4.1,0,0
 36-46,0,0,0,0,0,8.06,0,0,0,1.61,1.61,0,0,0,0,0.81,0,0,2.42,4.83,0,0.81,87.01,0,7.25,0,0,0,0,0,0,0,23.36,0,0,0.81,0,0.81
 48-58,0,0,0,1.15,0,28.69,0,0,0,6.31,0.57,0,0.57,0,0.57,0,0.57,0,2.87,5.74,0,2.3,156.07,0,4.59,0,0,0.57,0,0,0,0,23.53,0,0,1.72,0,0
 60-70,0,0,0,3.93,0,67.73,0,0,0,13.74,0.98,0,0.98,0,0,0,0,1.96,7.85,8.83,0,0.98,278.75,0,3.93,0,0,0,0,0.98,0,0,35.33,0,0.98,2.94,0,0.98
 72-82,0,0.98,0,4.91,0,157.07,0,0,0.98,63.81,7.85,0,0,1.96,0,0.98,0,0,23.56,25.52,0,1.96,445.67,0,4.91,0,0,0.98,0,0,0,0,43.19,1.96,0.98,20.61,0,0
 84-94,0,1.06,0,6.37,1.06,88.15,0,2.12,0,38.23,36.11,1.06,0,0,0,0,2.12,0,18.05,22.3,1.06,1.06,231.52,0,4.25,0,0,10.62,0,0,1.06,0,21.24,4.25,1.06,18.05,0,0
 96-106,0,1.09,2.19,7.65,1.09,62.29,0,1.09,0,49.18,32.79,0,0,0,3.28,0,1.09,1.09,10.93,36.06,0,2.19,204.36,2.19,10.93,3.28,0,3.28,0,0,0,0,33.88,1.09,0,19.67,1.09,1.09
108-118,0,3.06,0.77,7.66,1.53,68.94,0.77,1.53,1.53,40.6,46.72,0,0,0,1.53,2.3,0.77,0,19.15,30.64,0,2.3,255.83,1.53,6.89,1.53,0,6.89,0,0,0,0,13.79,1.53,1.53,16.85,0,0.77
120,0,1.96,0,11.76,0,50.95,0,0,0,27.44,21.56,0,1.96,1.96,0,0,0,0,9.8,19.6,0,0,225.38,0,5.88,1.96,0,1.96,0,1.96,0,0,9.8,5.88,0,19.6,0,0
