stage,axial,blastomeres,endoderm,epidermis,eye,fast.muscle,fin.epithelia,glial,gut,hatching.gland,heart,immune,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,slow.muscle,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle
  3-4,0,276.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,91.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,6.13,0,0,0,0,0,0,0
  7-9,0,0,5.26,0,0,0,0,0,0,2.63,0,0,0,0,0,0,15.77,0,0,10.51,0,0,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,3.15,0,0,0,0,0,0,0,0,0,0,0,15.73,22.03,0,25.18,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,3,7,0,1,0,0,4,1,1,1,0,0,0
 24-34,0,0,0,0,1.64,0,2.46,0,0.82,0,0.82,0,0,2.46,0,1.64,45.97,18.06,0,0,0,0.82,0,0.82,3.28,9.03,0,0,0
 36-46,0,0,0,0.81,5.64,0.81,0,0.81,0,0,0,0,0,2.42,0,2.42,116.82,12.09,1.61,0,0,0.81,0,0.81,0,11.28,0,0,0
 48-58,0,0,0,0.57,16.07,0.57,0,4.02,0,0,0,0,0,6.31,0.57,0,119.35,8.03,0,0,0,0,0,0,0,17.79,0,0,0
 60-70,0,0,0,0,28.46,0,0.98,2.94,0,0,0,0,0,14.72,0,0,106,11.78,0.98,0,0,0,0,0,0,13.74,0,0,0
 72-82,0,0,0,3.93,27.49,0,0,4.91,0,0,0,0,0.98,33.38,0,0,110.93,7.85,0.98,0,0,0,0,0,0,11.78,0,0,1.96
 84-94,0,0,0,0,9.56,2.12,0,2.12,0,0,0,0,0,21.24,1.06,0,44.61,10.62,1.06,0,1.06,0,0,0,0,3.19,1.06,1.06,0
 96-106,0,0,0,0,9.84,0,0,5.46,0,0,0,1.09,0,29.51,1.09,0,21.86,4.37,0,0,0,1.09,0,0,0,1.09,0,2.19,2.19
108-118,0,0,0,0.77,7.66,0,0,0,0,0,0,0,0,13.79,0,0.77,35.23,6.89,0.77,0,0,0,0,0,0,1.53,0,0.77,0.77
120,0,0,0,1.96,7.84,0,0,1.96,0,0,0,0,0,25.48,0,0,25.48,19.6,0,0,0,0,0,0,0,3.92,0,0,1.96
