stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,18,0,1,0,0,0,1,0,0,1,22,0,0,0,0,0
 24-34,0,0,0.82,2.46,0,0,4.1,0,0,0,1.64,0,0.82,0,0.82,0,0.82,0,0,1.64,0,0,1.64,114.1,0,5.75,13.13,0,0.82,0,0,0,0,48.43,0,0,1.64,0,0
 36-46,0,0,0,0,0,0,13.7,0,0,0,4.03,0,0,0,0,0,0,0,0,2.42,0,0,0,318.24,0,8.06,8.86,0,0,0,0,0,0,85.4,0,0,0.81,0,0
 48-58,0,0,0.57,0,0,0,36.72,0,0.57,0,6.31,0,0,0.57,0,0,2.87,0,1.15,8.03,0.57,0,0.57,429.21,0,4.02,14.35,0,0.57,0,0,0,0,90.09,0,0,0.57,0,0.57
 60-70,0,0,0,0.98,0,0,188.45,0,0,0,7.85,0,0.98,1.96,0,0,12.76,0,0,9.82,0,0,0,788.16,0,6.87,29.45,0,0.98,0,0,0,0,128.58,0,0.98,0.98,0,0
 72-82,0,0,0.98,2.94,2.94,0,393.65,0.98,0,2.94,13.74,0.98,0,0.98,0,0.98,21.6,0,0,19.63,0,0,1.96,812.82,0,18.65,59.88,0.98,0,0,0,0.98,0,61.84,0,0,1.96,0,0.98
 84-94,0,0,0,6.37,0,1.06,283.56,1.06,0,2.12,18.05,1.06,0,1.06,1.06,0,36.11,0,1.06,13.81,0,1.06,2.12,440.75,0,8.5,83.9,0,4.25,0,2.12,0,0,33.99,0,0,1.06,1.06,0
 96-106,0,0,0,6.56,1.09,0,245.89,0,0,1.09,14.21,0,0,2.19,0,1.09,38.25,3.28,0,16.39,0,2.19,1.09,382.5,1.09,15.3,102.73,0,5.46,0,0,0,0,21.86,1.09,0,2.19,0,1.09
108-118,0,0,0.77,4.6,0.77,0,206.81,0,0,0,22.21,0,0,0.77,0.77,0,29.87,0.77,0,16.09,0,0,0,423.58,0,11.49,75.83,0.77,2.3,0,0,0,0,16.09,0,0,1.53,0.77,0.77
120,0,0,1.96,13.72,0,0,174.42,0,3.92,0,23.52,5.88,0,1.96,0,0,23.52,1.96,0,7.84,0,1.96,3.92,505.62,0,13.72,76.43,0,0,0,0,0,0,27.44,0,0,5.88,0,0
