stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0
 14-21,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,142,7,2,1,0,0,0,0,2,84,0,0,0,0,0
 24-34,0.82,0.82,3.28,0,0,12.31,0,0,0,4.1,0,0,0.82,0,0,0,0,0.82,0,4.93,0,0,0,833.99,27.09,22.98,0,0,0,2.46,0.82,0,238.05,0,0,0,0,0
 36-46,0,0,1.61,0,0,122.46,0.81,1.61,0,8.86,0,0.81,0,0.81,0,0,0,0.81,0,4.83,0,0,0,1953.75,29.81,11.28,0,0,0,0.81,0,0,369.8,0,0,1.61,0,0.81
 48-58,0,0,9.18,0,0,301.25,0,1.72,0,28.12,0,0,0.57,0,0.57,1.15,0.57,0,0.57,12.05,1.15,0,4.02,2437.52,27.54,13.77,1.72,0,0,2.3,0,0,413.14,0,0,0.57,0,2.3
 60-70,0.98,0,2.94,0,0,645.84,0,1.96,0.98,58.89,0.98,0,0,2.94,0,0,0,1.96,0.98,22.58,0,1.96,1.96,2970.09,20.61,10.8,0.98,0,0.98,0.98,1.96,0,362.18,0,0,0.98,0,2.94
 72-82,5.89,0,12.76,1.96,0,640.04,0,0.98,3.93,79.51,2.94,0,0,0.98,0,1.96,0.98,0,1.96,46.14,0,1.96,0,2195.98,23.56,20.61,1.96,0,0,1.96,0,0,180.63,0,2.94,2.94,2.94,0.98
 84-94,3.19,0,16.99,1.06,0,389.77,0,6.37,0,80.71,1.06,1.06,1.06,1.06,1.06,0,0,0,1.06,43.54,2.12,2.12,4.25,1057.79,41.42,12.74,1.06,0,1.06,3.19,0,0,94.52,0,0,2.12,0,1.06
 96-106,6.56,1.09,12.02,5.46,1.09,278.68,0,2.19,1.09,50.27,1.09,0,0,1.09,0,0,0,1.09,0,34.97,1.09,1.09,1.09,842.58,9.84,12.02,0,0,1.09,5.46,0,0,54.64,0,0,0,2.19,1.09
108-118,3.83,0.77,14.55,1.53,0.77,202.98,0,11.49,1.53,36,2.3,0,0,0.77,0,1.53,0,0,0,27.57,0.77,1.53,3.83,886.99,36,6.89,2.3,0,0,2.3,0.77,0,29.87,1.53,0,3.06,1.53,0.77
120,1.96,0,21.56,1.96,1.96,244.97,3.92,7.84,0,64.67,1.96,0,0,0,1.96,0,0,0,0,31.36,0,3.92,3.92,1083.76,45.08,19.6,0,0,0,1.96,0,0,27.44,0,3.92,5.88,1.96,0
