stage,blastomeres,epidermis,erythrocytes,eye,fast.muscle,glial,immune,mesenchyme,mucous,mural.cell,muscle,neural,pericytes,periderm,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0
 10-12,3.15,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0.82,0,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,6.45,0,0,0,0,0,0,0
 48-58,0,0,0,1.72,0,0.57,0,0,0,0,0,25.82,0,0,0.57,0,0,0,0
 60-70,0,0,0,1.96,0,0.98,0,0.98,0,0,0,82.45,0,0.98,2.94,0,0,0,0
 72-82,0,1.96,0.98,15.71,0,5.89,0,7.85,0,0,0.98,99.15,0.98,1.96,5.89,0.98,0,0.98,0.98
 84-94,0,1.06,0,4.25,0,1.06,1.06,2.12,0,0,0,29.74,0,1.06,3.19,0,1.06,0,0
 96-106,0,0,0,8.74,1.09,0,0,1.09,0,1.09,0,25.14,0,0,0,0,0,0,0
108-118,0,0,0,0,0,1.53,0,2.3,0.77,0,0,33.7,0,0,2.3,0,0,0,0
120,0,0,0,0,0,0,0,0,0,0,0,29.4,0,0,1.96,0,0,0,0
