stage,axial,blastomeres,epidermis,erythrocytes,eye,fin_mesenchyme,glial,lateral_line,melanocytes,mesenchyme,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,vasculature
  3-4,118.6,1923.98,0,0,0,0,0,0,0,0,0,0,0,0,0,39.53,0,0,0,0
  5-6,36.78,508.76,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,26.29,2.63,0,5.26,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,3.15,0,0
 14-21,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,1
 24-34,0,0,0,0,0,0,0,0,0,0,0,1.64,0,0.82,0,0.82,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0.81,0,0,0,0,0,0,0,0
 48-58,0,0,0,0,0.57,0,0,0,0,0,0,0,0,0,0,0.57,0,0,0,0
 60-70,0,0,0,0,0,0,0,0,0,0.98,0,0.98,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0.98,0,0,0.98,0,0,0,0.98,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,1.06,1.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,0,0,0,1.09,0,0,0,0,0,1.09,0,0,0,0
108-118,0,0,0.77,0,0,0,0.77,0,0.77,0.77,0.77,0.77,0,0,0,0,0,0,0,0
120,0,0,0,0,0,0,1.96,0,0,0,0,0,0,0,0,0,0,0,0,0
