stage,epidermis,erythrocytes,eye,fin.mesenchyme,liver,mesenchyme,mural.cell,muscle,neural,notochord,paraxial.mesoderm,pericytes,periderm,spinal.cord
 10-12,0,0,0,0,0,0,0,0,0,3.15,3.15,0,0,0
 14-21,0,1,0,0,0,0,0,1,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0.82,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,2.42,0,0,0,0,0.81
 48-58,0,0,0,0,0,0,0,0,0.57,0,0,0,0.57,0
 60-70,0,0,0.98,0,0,0.98,0,0,0,0,0,0,0,0
 72-82,0,0,1.96,0.98,0,0.98,0,0,0.98,0,0,0,0,0
 84-94,0,0,3.19,0,0,3.19,0,0,3.19,0,0,1.06,0,0
 96-106,1.09,0,1.09,0,0,2.19,0,0,3.28,0,0,1.09,0,0
108-118,0,0,2.3,0,0.77,1.53,0.77,0,2.3,0,0,0.77,0,0
120,0,0,1.96,0,0,1.96,0,0,0,0,1.96,0,0,0
