stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,heart,immune,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,neural,olfactory,otic,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,1,0,2,0,0,1,1,0,0,0,0,0,0,0,1,0,5,0,0,0,1,0,1,9,0,0,0,0,0
 24-34,0,0,0,0,0,0.82,0.82,0,0,0,0,0,0,0,0,0,0.82,0,22.16,3.28,0,0,0,0,0,13.13,0,0,0,0,0
 36-46,0,0,0,0,0,0,2.42,0,0,0,0,0,0,0,0,0,0.81,0,25.78,6.45,0,0,0,0,0,20.95,0,0,0,0,0
 48-58,0,0,0,0,0,0,6.31,0,1.72,0,0.57,0,0,0,0,0,0.57,0,22.38,2.3,0,0.57,0,0,0,29.26,0,0,0.57,0,0
 60-70,0,0,0,0,0,0,43.19,0,3.93,0,0.98,0,0,0,0,0,0.98,0,44.17,1.96,0.98,0,0,0,0,29.45,0,0,0,0,0.98
 72-82,0,0,0,0,0,0,88.35,0,3.93,0,0,0,0,0,0,0,0,0,81.48,5.89,0.98,0,0,0,0,26.5,0,0,0,0,0
 84-94,0,0,0,0,2.12,0,40.36,0,6.37,0,1.06,1.06,1.06,0,0,0,1.06,1.06,59.47,3.19,3.19,1.06,0,0,0,16.99,1.06,0,0,0,0
 96-106,0,0,0,0,3.28,1.09,106.01,0,10.93,1.09,1.09,0,0,1.09,0,1.09,2.19,1.09,52.46,5.46,0,0,0,0,0,7.65,0,0,0,0,0
108-118,0,0,0,0,2.3,0,85.79,0,11.49,0,0,0,0,0.77,0.77,0,3.83,0,63.57,9.19,0.77,0,0,0,0,6.13,0,0.77,0,0.77,0
120,0,0,0,0,0,0,76.43,0,11.76,1.96,1.96,1.96,0,1.96,0,0,1.96,0,72.51,5.88,1.96,0,0,0,0,9.8,0,0,0,0,0
