stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,1,8,126,47,0,87,0,0,0,22,10,1,2,0,5,0,0,0,3,97,0,0,62,1038,20,1,17,33,0,7,3,221,14,1,175,352,0,0,7,0,1
 24-34,2.46,4.93,34.48,8.21,0,244.62,0,0,0.82,18.06,4.1,2.46,0,2.46,8.21,0.82,5.75,3.28,1.64,128.87,3.28,0,46.79,1173,8.21,10.67,8.21,0,0,39.4,0,0,2.46,1.64,30.37,233.12,0,0,13.95,0,1.64
 36-46,0,0.81,11.28,0.81,0,249.76,1.61,0.81,2.42,33.03,0.81,0,0,1.61,0,0,1.61,3.22,0,98.29,0,4.03,19.34,623.59,2.42,8.06,3.22,0,0,12.09,0,0.81,0.81,0.81,0.81,133.74,0,0,5.64,0,2.42
 48-58,0,0,9.75,1.15,0,246.74,1.72,0.57,4.59,45.9,0.57,0,0,2.87,0.57,2.87,1.72,0.57,1.15,98.12,0.57,4.02,21.8,347.15,1.15,1.72,4.02,0,0.57,5.74,0,0,0.57,0,0,54.51,0,0,4.59,0,4.59
 60-70,0,0,11.78,0.98,0,230.66,0,0,2.94,53,3.93,0,1.96,3.93,0,2.94,1.96,0,0,74.6,0,3.93,11.78,333.72,0,4.91,1.96,0,0.98,3.93,0,0,0.98,0,0,29.45,0,0.98,5.89,0,1.96
 72-82,0,0,4.91,2.94,0,142.34,1.96,0,6.87,67.73,6.87,0,1.96,5.89,0,3.93,1.96,0.98,0.98,88.35,0,1.96,19.63,226.76,1.96,3.93,5.89,0,1.96,0,0,0,0,0,0,16.69,0,1.96,8.83,1.96,0
 84-94,1.06,0,19.12,4.25,0,107.27,1.06,1.06,3.19,49.92,7.43,0,1.06,7.43,4.25,4.25,0,6.37,0,67.97,0,1.06,18.05,133.82,0,3.19,4.25,0,1.06,6.37,0,0,3.19,0,0,6.37,0,1.06,3.19,1.06,0
 96-106,1.09,0,18.58,4.37,1.09,64.48,0,0,2.19,53.55,4.37,0,2.19,9.84,2.19,2.19,1.09,3.28,0,43.71,0,2.19,13.11,103.82,0,7.65,3.28,0,1.09,8.74,0,0,0,0,0,2.19,1.09,1.09,3.28,1.09,1.09
108-118,0.77,0,12.26,4.6,0.77,67.4,0,1.53,3.83,34.47,2.3,0,0.77,6.13,3.06,5.36,3.06,6.13,0.77,50.55,0,2.3,18.38,151.66,3.06,5.36,1.53,0,0.77,9.96,0,0,0,0.77,0,3.06,0.77,0,9.19,0.77,1.53
120,1.96,0,13.72,0,0,35.28,0,0,1.96,11.76,3.92,0,0,5.88,1.96,0,1.96,1.96,1.96,35.28,1.96,1.96,19.6,103.87,5.88,1.96,5.88,0,0,3.92,0,0,0,0,0,1.96,0,0,5.88,0,0
