stage,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
 14-21,12,3,1,0,1,0,0,0,1,6,8,0,1,0,0,0,36,0,10,21,1,0,0,0,0,0,1,2,1,0,4,0,0,0,0
 24-34,4.1,1.64,0.82,0,0.82,0,0,2.46,0,0,5.75,0,0,0.82,0,2.46,30.37,0.82,7.39,41.86,0.82,2.46,0,0,0,0,0,4.1,0,0.82,4.1,0,0,0.82,0
 36-46,0,3.22,0.81,0,0,0,0,8.86,0,0,12.89,0,0,3.22,0,0.81,31.42,2.42,2.42,23.36,0.81,1.61,0.81,0.81,0,0,0,4.03,0,0,4.03,0,0,0,0
 48-58,0,0.57,0,0,2.3,0,0,24.1,0,0,6.31,0,0,2.87,0,1.15,29.26,1.72,0.57,40.74,2.87,0,1.15,0,0.57,0,0,4.59,0,0,13.77,0,0,1.72,0
 60-70,0.98,1.96,0,0,4.91,0,0,85.39,2.94,0,4.91,0,0,5.89,0.98,0.98,25.52,3.93,0,46.13,3.93,2.94,2.94,0,0.98,2.94,0,6.87,0,0,24.54,0,0.98,1.96,0
 72-82,0,1.96,0,0,26.5,0.98,0,181.61,0.98,0.98,9.82,0,0,0.98,0,0.98,53.01,4.91,0,67.73,0,2.94,3.93,0,0.98,0,0,2.94,0,0,11.78,0,0,3.93,0.98
 84-94,0,6.37,0,0,20.18,0,0,115.76,5.31,0,6.37,0,1.06,2.12,0,2.12,33.99,2.12,0,29.74,5.31,2.12,0,0,0,0,0,5.31,0,0,7.43,1.06,1.06,2.12,0
 96-106,3.28,5.46,0,0,21.86,2.19,0,126.77,9.84,0,6.56,0,1.09,5.46,0,3.28,21.86,1.09,1.09,52.46,2.19,9.84,3.28,0,1.09,0,0,4.37,0,0,9.84,0,4.37,0,1.09
108-118,2.3,1.53,0,0.77,16.09,0,0,134.81,10.72,0,5.36,0.77,1.53,8.43,0,4.6,23.74,5.36,0,37.53,2.3,4.6,1.53,0,0.77,0,0,6.13,0,0,7.66,1.53,5.36,1.53,0
120,0,1.96,0,0,13.72,0,1.96,123.47,1.96,0,5.88,0,3.92,1.96,0,1.96,25.48,1.96,0,35.28,1.96,3.92,0,0,1.96,0,0,13.72,0,0,3.92,0,0,0,1.96
