stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0
  5-6,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,2.63,0,0,0,2.63,0,0,0,0,15.77,0,0,0,0,0,0,0,0,0,0,0,13.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,50.35,0,0,0,3.15,0,0,0,0,113.29,0,0,0,0,0,0,0,0,0,0,0,56.65,3.15,0,0,9.44,0,0,0,0,3.15,0,0,0,0,0,0,0
 14-21,1,0,0,76,194,8,0,5,0,0,0,31,57,0,0,2,0,0,5,0,99,0,0,40,20,2,0,2,0,0,1,0,5,0,2,2,0,0,0,0,0
 24-34,0.82,0,0,56.64,88.65,0.82,0,1.64,0.82,0,0.82,33.66,2.46,0,0,0,0,0.82,4.93,0,187.98,0,0,50.89,48.43,0.82,2.46,0,0,1.64,2.46,0,0.82,0,0,8.21,0,0,1.64,0,0
 36-46,0,0,0,5.64,82.98,0,0,4.03,1.61,0.81,1.61,17.72,2.42,0,0,1.61,0,6.45,4.83,0.81,180.47,0.81,8.86,31.42,41.89,1.61,1.61,1.61,0,1.61,1.61,0.81,0.81,0,0,5.64,0,0,0,0,0
 48-58,0,0,0,0.57,121.07,0,0,6.31,1.15,2.87,1.72,5.16,5.74,0,0,1.15,0.57,8.03,0.57,0,216.9,0.57,8.03,38.44,37.3,0,0.57,0.57,0,0,1.72,0,0,0,0,6.89,0,0,0,0.57,1.15
 60-70,0,0,0,0,135.45,0.98,0,11.78,2.94,6.87,0,13.74,2.94,0,0.98,6.87,0,2.94,0.98,0,207.1,0.98,6.87,15.7,34.35,0,0,0,0,0,4.91,0,0,0,0,2.94,8.83,9.82,0.98,0,0.98
 72-82,0,0,3.93,0,214.98,0,0,27.49,0.98,19.63,3.93,59.88,4.91,0,0,17.67,0,13.74,0,0,304.32,11.78,22.58,16.69,44.17,0,1.96,2.94,0,2.94,2.94,0,0,0,0,0,33.38,30.43,1.96,4.91,0.98
 84-94,0,0,3.19,0,331.36,0,0,28.68,0,19.12,6.37,96.65,4.25,0,1.06,27.61,1.06,10.62,1.06,0,241.08,5.31,11.68,12.74,25.49,0,1.06,1.06,0,3.19,6.37,0,0,0,0,2.12,106.2,38.23,0,6.37,0
 96-106,0,0,4.37,0,432.77,0,0,34.97,2.19,14.21,8.74,209.83,1.09,1.09,2.19,31.69,0,13.11,1.09,0,342.06,7.65,16.39,12.02,66.66,0,0,1.09,0,2.19,5.46,1.09,0,0,0,2.19,154.09,22.95,2.19,6.56,1.09
108-118,0,0,3.83,0.77,358.47,0,0,12.26,3.06,19.92,6.89,202.21,0,0,2.3,20.68,0,4.6,3.83,0,329.36,12.26,14.55,9.96,32.94,0.77,0.77,0,0,2.3,6.89,0,0,1.53,0,0.77,144,19.15,1.53,6.13,0.77
120,0,0,0,0,227.34,1.96,1.96,5.88,0,19.6,7.84,97.99,0,0,3.92,13.72,0,5.88,9.8,0,237.13,19.6,11.76,9.8,47.03,0,0,0,0,0,5.88,0,0,0,0,0,19.6,9.8,0,5.88,0
