stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature,xanthophores
 14-21,0,0,3,2,0,0,30,0,0,0,0,4,0,0,9,0,1,2,1,2,1,0,41,1,68,0,0
 24-34,0,0,0.82,0,0,0.82,22.98,0,0.82,0,0,1.64,0,0.82,4.93,0.82,15.6,3.28,0,0.82,0,0,32.01,0.82,63.21,0,0
 36-46,0,0,0.81,0,0.81,0,16.92,0,2.42,0,0,2.42,0,0,8.06,0,17.72,0,0,0,0,0.81,16.92,0,33.84,0,0
 48-58,0,0,0,0,0.57,0.57,20.66,0,0,0,0,1.72,0.57,0,10.33,0,11.48,5.16,0,0,0,0,4.59,0,28.69,0,0.57
 60-70,0,0,0,0,0.98,0,18.65,0.98,0,0,0,1.96,0,0,11.78,0,19.63,3.93,0,0,0,0,4.91,0,23.56,0,0
 72-82,0.98,0,0,0,2.94,0.98,25.52,0.98,5.89,0,0,2.94,0,0,8.83,0,26.5,15.71,0,0,0,0,0.98,0,15.71,0,0
 84-94,1.06,1.06,0,0,2.12,0,21.24,3.19,10.62,0,1.06,4.25,0,0,13.81,0,22.3,18.05,0,0,0,0,12.74,0,16.99,0,0
 96-106,2.19,0,0,0,2.19,3.28,19.67,2.19,5.46,1.09,0,8.74,0,1.09,4.37,0,17.49,19.67,0,1.09,0,0,5.46,0,13.11,1.09,1.09
108-118,0,0.77,0,0,1.53,1.53,11.49,0.77,5.36,0,0,7.66,0,0,6.13,0,23.74,12.26,0,0,0,0,6.89,0,4.6,1.53,0
120,1.96,0,0,1.96,3.92,0,3.92,1.96,0,1.96,0,3.92,0,0,7.84,0,11.76,9.8,0,0,0,0,7.84,0,9.8,0,0
