stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,hatching.gland,heart,immune,ionocyte,iridophores,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,39.53,224.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0
  5-6,18.39,343.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,2.63,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,55.2,0,0,0,23.66,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,22.03,0,0,0,6.29,0,0,0,3.15,0,3.15,0,0,0,0
 14-21,0,0,1,8,4,1,0,0,3,0,0,0,1,0,0,3,0,4,97,3,5,0,5,0,2,12,0,9,31,0,0,1,0
 24-34,0,0,0,1.64,0,4.1,0,0,2.46,0,0,0,0,0,0,4.1,0,4.93,152.68,1.64,2.46,0,0,0,0,0,0,0.82,30.37,0,0,1.64,0
 36-46,0,0,0,0.81,0,9.67,0,0,1.61,0,0,0,0,0,0,7.25,0.81,1.61,173.22,0,1.61,0,0,0,0,0,0,0,33.03,0,0,0,0
 48-58,0,0,0,1.72,0,56.23,0.57,0,4.02,0.57,1.15,0,0,0,0,24.1,0,4.59,222.64,0,1.15,0,0,0,0,0,0,0,24.1,0,0,0.57,0
 60-70,0,0,0,0.98,0,48.09,0,0,3.93,0,0,0.98,0,0.98,0,20.61,0,0,98.15,0,0.98,0,0,0.98,0,0,0,0,7.85,0,0,0,0
 72-82,0,0,0,1.96,0.98,131.54,0,0.98,14.72,0,0,0,0,0,0,38.28,2.94,6.87,208.11,0,0.98,0,0,0,0.98,0,0,0,14.72,0,0.98,0,0
 84-94,0,0,0,4.25,0,44.61,0,0,11.68,0,0,0,0,1.06,0,18.05,1.06,1.06,67.97,0,2.12,1.06,0,0,3.19,0,0,0,6.37,1.06,0,1.06,0
 96-106,0,0,0,4.37,1.09,52.46,2.19,0,5.46,0,1.09,1.09,0,0,0,17.49,0,2.19,60.11,0,0,1.09,0,0,1.09,0,1.09,0,4.37,0,0,0,0
108-118,0,0,0,0.77,0.77,39.83,0,0,5.36,0,0.77,0.77,0,0.77,0,10.72,0.77,2.3,106.47,0.77,1.53,0.77,0,0,0,0,0,0,1.53,0,0,0.77,0.77
120,0,0,0,7.84,0,41.16,0,1.96,11.76,0,0,0,0,0,1.96,15.68,0,1.96,101.91,0,0,0,0,0,0,0,0,0,1.96,0,0,0,0
