stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,slow.muscle,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4,0,0,0,0
 24-34,0,0.82,1.64,0,3.28,0,0,0,0,0,0,0,0,0,0,0,2.46,0,0,28.73,0,0,0,0,2.46,0,3.28,0,0,0,0
 36-46,0,0,0.81,0,1.61,0,0,0,0,0,0.81,0,0,0,0,0,2.42,0,0,110.38,0,0,0,0,0,0,6.45,0,0,0,0
 48-58,0,0,0.57,0,19.51,0,0.57,0.57,2.3,0.57,0,0.57,0,0,0,0.57,7.46,0.57,1.15,140.58,0,0.57,0,0,1.15,0.57,8.61,0,0,0,0.57
 60-70,0,0,0.98,0,6.87,0,0.98,0,3.93,0,0,0,0,0,0,0,7.85,0,0,104.04,0,0,0,0,1.96,0,1.96,0,0,0,0
 72-82,0,0,0,0,12.76,0,1.96,0,5.89,0,1.96,0.98,0,0,0,0.98,26.5,0,0.98,217.93,0,0.98,0.98,0,2.94,0,2.94,0,0.98,0.98,0.98
 84-94,0,0,5.31,0,14.87,0,5.31,0,2.12,0,1.06,1.06,1.06,1.06,0,0,11.68,0,0,127.44,0,0,1.06,0,4.25,0,1.06,0,0,0,1.06
 96-106,0,0,5.46,1.09,15.3,1.09,3.28,1.09,9.84,0,1.09,0,1.09,0,1.09,0,19.67,0,1.09,124.58,0,0,0,1.09,8.74,0,3.28,0,2.19,0,1.09
108-118,0,0,6.89,2.3,6.13,0,1.53,0,2.3,0,0.77,0.77,0,0,0,0,13.02,0.77,0,175.41,0,2.3,0,0,7.66,0,0.77,0,0,0.77,0
120,0,0,5.88,0,7.84,0,0,0,0,0,0,0,0,0,0,0,7.84,0,0,192.06,1.96,0,0,0,7.84,0,1.96,1.96,0,0,0
