stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,13.18,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,42.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.39,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,26.29,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,12.59,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138.47,0,0,0,34.62,3.15,6.29,0,6.29,0,0,0,0,0,0,0
 14-21,0,0,4,103,3,1,1,0,0,2,0,0,0,3,0,0,0,0,3,0,0,1,11,3,0,1,6,7,0,7,0,0,4,4,0,0,0,0
 24-34,0,0,2.46,45.15,0,0.82,0.82,0,0,3.28,0,0,0,1.64,0.82,0.82,0.82,0,1.64,0,0,0.82,22.16,0,0,2.46,0,19.7,0,0,2.46,0,3.28,2.46,0,0,0,0
 36-46,0,0,0.81,16.92,0,5.64,0.81,0,0.81,0.81,0,0,0,0,0,0.81,2.42,0,1.61,0,0,0,14.5,0,0,2.42,0,31.42,0,0,0.81,0,0,9.67,0,0,0.81,0
 48-58,0,0,0,22.38,0,2.3,2.3,0.57,0,1.72,0,0,0,0,0,2.3,0,0.57,2.87,0.57,0,0.57,23.53,0,1.15,0.57,0,29.26,0,0,0.57,0,0,1.72,0,0,0.57,0
 60-70,0,0,0,49.08,0,5.89,4.91,0,0.98,1.96,0,0,0,1.96,0,0.98,0,0,5.89,3.93,0,0,11.78,0,0,3.93,0,103.06,0,0,2.94,0,0,0,0,0,1.96,0
 72-82,0,0,0,78.53,0,10.8,3.93,0,2.94,0.98,0,0,1.96,6.87,0,2.94,0,0,3.93,6.87,0.98,0.98,12.76,0,0,2.94,0,221.86,0,0,0,0,0,0.98,1.96,0,0.98,0
 84-94,0,0,0,148.69,0,3.19,22.3,1.06,2.12,2.12,0,0,3.19,9.56,0,2.12,1.06,0,5.31,11.68,0,0,8.5,0,2.12,6.37,0,729.62,0,0,6.37,0,0,1.06,4.25,0,3.19,1.06
 96-106,0,0,0,159.56,0,9.84,12.02,0,3.28,7.65,0,1.09,15.3,7.65,0,6.56,0,0,9.84,9.84,0,0,13.11,0,0,6.56,0,666.64,0,0,0,1.09,0,0,3.28,0,0,1.09
108-118,0,0,0,168.51,0.77,4.6,31.4,0.77,6.13,6.89,0,0,12.26,11.49,0.77,3.83,0.77,0,11.49,11.49,0.77,0,9.96,0,3.06,5.36,0,632.69,0,0,1.53,0,0,3.06,2.3,0,0.77,0.77
120,0,0,0,160.7,0,5.88,9.8,1.96,9.8,15.68,0,0,17.64,7.84,0,1.96,0,0,7.84,5.88,0,0,5.88,0,0,5.88,0,391.96,0,0,3.92,0,0,0,1.96,1.96,1.96,0
