stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vasculature,xanthophores
  3-4,144.96,961.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.71,0,0,0,0,0,0,0,0
  5-6,61.3,447.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,6.13,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,5.26,0,0,0,10.51,0,0,0,0,0,0,0,0,0,0,0,78.86,0,0,70.98,0,0,0,0,0,0,0,0,0
 10-12,0,0,6.29,0,9.44,0,3.15,0,0,3.15,0,0,0,0,0,0,0,0,44.06,6.29,0,103.85,0,3.15,3.15,9.44,0,0,0,0,0
 14-21,0,0,0,7,9,0,1,1,0,1,0,0,0,0,0,0,9,9,13,0,0,0,0,0,16,0,13,1,0,0,0
 24-34,0,0,0,0.82,0.82,0,0.82,0,0.82,0,0.82,0,0,0.82,0,0,7.39,2.46,4.1,0,0,0,0,0,0,0,0.82,0,0,4.1,0
 36-46,0,0,0.81,0.81,0,0,0,0,0,0,0,0,0,0,0.81,0,4.83,0,4.83,0,0,0,0,0,0,0,0,0,0,4.03,0
 48-58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.57,0,0.57,0,0,0,0.57,0,0,0,0,0,0,0.57,0,2.87,1.72
 60-70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.98,0,0,0,0,0,0,0,0,0.98,0,0,1.96
 72-82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.98,0,1.96,0,0,0,0,0,0,0,0,0,0,0,0,0.98,0
 84-94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.06,2.12,0,1.06,0,0,0,0,0,0,0,0,0,0,3.19,0
 96-106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.09,0,0,0,0,1.09,0,0,0,0,0,1.09,0,0
108-118,0,0,0,0,0,0,0,0,0,0,0,0.77,0,0,0,0,0.77,0,0.77,0,0,0,0,0,0,0,0,0,0,2.3,1.53
120,0,0,0,1.96,0,1.96,0,0,0,0,0,0,1.96,0,0,0,0,0,1.96,0,0,0,19.6,0,0,0,0,0,0,1.96,0
