stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,42.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,7.89,5.26,31.54,0,2.63,0,36.8,0,0,0,0,0,18.4,0,0,0,0,0,0,0,0,0,0,0,207.67,15.77,0,0,94.63,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,18.88,81.82,0,37.76,0,22.03,0,0,0,0,0,40.91,0,0,0,0,0,0,0,0,0,0,0,752.13,56.65,0,0,405.96,0,0,6.29,0,37.76,0,0,0,0,0,0,0,0
 14-21,0,0,5,150,22,0,11,0,0,0,10,5,5,1,0,1,0,0,0,0,60,0,0,47,380,44,4,13,23,0,3,2,14,1,0,18,263,0,0,3,0,0
 24-34,0,0,4.1,113.28,0.82,0,37.76,0,13.95,1.64,2.46,3.28,0.82,4.1,0,1.64,1.64,4.1,1.64,9.85,124.77,3.28,0.82,33.66,1006.37,13.13,12.31,18.88,0,0,9.03,0.82,0,0.82,0,5.75,234.76,0,0,30.37,0,4.1
 36-46,0,0,0.81,65.26,0.81,0,167.58,0.81,31.42,5.64,15.31,1.61,0.81,4.83,1.61,0,2.42,6.45,0.81,5.64,173.22,0,4.03,29,2282.46,3.22,8.86,10.47,0,0,5.64,0,0,0.81,0,0,472.93,0,0,43.51,0,0
 48-58,0.57,0,0,70,0,0,394.78,1.15,56.23,8.03,30.99,0,0.57,4.59,1.15,1.15,1.72,6.31,0,2.3,220.91,2.3,9.75,26.97,2123.65,4.02,5.16,6.31,0,2.87,1.72,0,0,1.72,0.57,0,453.31,0,2.3,33.28,0,0.57
 60-70,0,0,0,39.26,0.98,0,458.37,3.93,44.17,10.8,25.52,0,0,3.93,0,0,3.93,7.85,0,1.96,386.72,0.98,4.91,16.69,1382.96,4.91,3.93,5.89,0,2.94,0.98,0,0,0,0.98,0,229.68,0,4.91,40.24,4.91,3.93
 72-82,0,0,0,49.08,0.98,0,273.88,0.98,44.17,9.82,30.43,0,0.98,4.91,1.96,0.98,5.89,14.72,0.98,1.96,537.95,1.96,22.58,22.58,900.18,5.89,3.93,13.74,0,1.96,0,0,0,0,0.98,0,95.22,1.96,10.8,80.5,17.67,0.98
 84-94,0,0,2.12,114.7,0,0,247.45,0,88.15,8.5,24.43,3.19,3.19,5.31,5.31,3.19,22.3,15.93,1.06,5.31,375.96,2.12,23.36,8.5,419.5,3.19,1.06,5.31,0,4.25,2.12,0,0,1.06,0,0,57.35,8.5,5.31,55.23,20.18,1.06
 96-106,0,0,0,61.2,5.46,0,126.77,2.19,59.01,3.28,16.39,4.37,1.09,7.65,2.19,1.09,25.14,19.67,0,2.19,291.79,3.28,15.3,15.3,313.65,2.19,7.65,10.93,0,4.37,1.09,0,0,0,0,0,18.58,8.74,15.3,75.41,19.67,2.19
108-118,0,0,0.77,63.57,2.3,0.77,118.72,0,69.7,1.53,10.72,4.6,0,7.66,3.06,0.77,31.4,6.89,2.3,1.53,202.98,0.77,16.85,19.15,324,9.19,3.83,7.66,0,5.36,3.06,0,0,1.53,0,0,11.49,6.13,8.43,44.43,7.66,1.53
120,0,0,0,54.87,0,0,101.91,0,35.28,0,13.72,1.96,0,9.8,3.92,5.88,15.68,5.88,1.96,1.96,141.1,1.96,13.72,37.24,233.21,5.88,0,5.88,0,0,1.96,0,0,0,0,0,1.96,1.96,3.92,48.99,5.88,0
