stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,184.49,2727.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,158.14,0,0,0,0,0,0,0,0,0,0,0
  5-6,104.2,1605.96,0,0,0,0,0,0,0,0,0,0,18.39,0,0,0,0,0,0,0,0,0,0,0,49.04,12.26,0,0,36.78,0,98.07,0,0,0,0,0,0,0,0,0,0,0
  7-9,57.83,18.4,0,21.03,0,0,0,92,0,0,0,0,31.54,0,0,0,0,0,0,0,0,0,0,0,901.65,13.14,0,0,410.08,0,36.8,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,9.44,0,28.32,0,3.15,0,56.65,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,525.54,12.59,0,0,110.14,0,28.32,3.15,0,9.44,0,0,0,0,0,0,0,0
 14-21,0,0,0,20,315,10,0,10,5,0,11,12,3,1,0,8,0,0,5,0,53,3,0,24,192,16,1,19,6,0,144,1,26,4,0,19,91,0,0,1,0,0
 24-34,0.82,0,0.82,3.28,225.74,0.82,0,17.24,32.01,0,7.39,3.28,2.46,3.28,0,39.4,0,3.28,0.82,6.57,62.39,9.85,0.82,31.19,201.93,5.75,4.1,9.03,0,0.82,151.86,0,0,5.75,0,4.1,57.46,0,0,6.57,0,0.82
 36-46,0,0,0,0,79.76,0,0,12.89,24.98,0.81,10.47,0.81,1.61,3.22,0.81,14.5,0,0.81,0.81,5.64,66.87,3.22,2.42,16.11,95.87,4.83,0.81,11.28,0,0,112.79,0.81,0,5.64,0.81,0,29.81,0,0,6.45,0,0
 48-58,0,0,0,0,70.58,2.3,0,11.48,26.97,1.15,9.75,1.15,1.72,1.15,0.57,9.18,0,1.72,0.57,10.33,49.92,2.3,1.72,12.62,52.79,2.87,1.15,8.61,0,1.15,62.54,0,0,1.72,0.57,0,14.92,0,0,1.72,0,0.57
 60-70,0,0,0,0.98,53.98,1.96,0,14.72,17.67,0.98,21.59,2.94,1.96,0.98,0.98,8.83,0,2.94,0.98,2.94,77.54,2.94,3.93,3.93,30.43,0,2.94,11.78,0,0.98,73.61,0,0,4.91,0.98,0,7.85,1.96,0,1.96,0,0
 72-82,0,0,0,0,63.81,10.8,0,26.5,21.6,3.93,31.41,24.54,0.98,0.98,0,14.72,0.98,5.89,0.98,8.83,116.82,13.74,2.94,5.89,52.03,2.94,4.91,14.72,0,0,58.9,0,0,0,0,0,10.8,9.82,1.96,3.93,1.96,0
 84-94,0,0,0,1.06,96.65,3.19,1.06,22.3,27.61,5.31,29.74,27.61,1.06,0,2.12,31.86,0,1.06,0,10.62,70.09,8.5,4.25,8.5,31.86,0,4.25,13.81,0,0,192.23,0,0,0,0,0,6.37,13.81,1.06,3.19,3.19,0
 96-106,0,0,0,1.09,90.71,12.02,0,20.76,13.11,0,41.53,39.34,0,4.37,3.28,32.79,1.09,7.65,3.28,8.74,73.22,6.56,7.65,5.46,33.88,3.28,6.56,9.84,0,3.28,113.66,0,0,1.09,0,0,4.37,26.23,4.37,7.65,1.09,1.09
108-118,0,0,0.77,1.53,78.89,7.66,0.77,26.04,22.98,3.83,40.6,36.77,0,0,6.13,22.98,1.53,4.6,3.06,10.72,80.43,9.19,4.6,6.13,33.7,1.53,11.49,14.55,0,0.77,101.87,0,0,2.3,0,0,2.3,34.47,3.83,5.36,0.77,0
120,0,0,0,1.96,68.59,3.92,0,23.52,9.8,0,29.4,37.24,1.96,3.92,1.96,23.52,1.96,3.92,1.96,7.84,60.75,11.76,9.8,1.96,31.36,3.92,5.88,11.76,1.96,1.96,56.83,0,0,0,0,0,1.96,5.88,0,7.84,3.92,0
