stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,immune,iridophores,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,somites,spinal_cord,vascular_smooth_muscle,vasculature,xanthophores
  3-4,0,65.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,134.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,2.63,0,0,0,0,0,0,0,0,0,0,0,39.43,5.26,0,0,7.89,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,0,0,0,0,0,0,0,0,31.47,0,0,0,37.76,0,0,3.15,0,0,0,0
 14-21,0,0,0,1,1,2,0,0,0,0,0,0,0,7,0,0,0,0,0,2,2,9,0,0,0
 24-34,0,0,0,0,0,1.64,0,0.82,0,0,0,0.82,2.46,42.68,0,0.82,0.82,0,0,0,0.82,8.21,0,0.82,0
 36-46,0,0,0,0.81,0,11.28,0,0.81,0,0,0,4.03,0,41.09,0,0,0,0,0,0,0,10.47,0,0,0
 48-58,0,0,0,0,0,10.33,0,2.87,0,0,0,2.3,0,25.82,0,0.57,0,0,0.57,0,0,5.16,0,0,0
 60-70,0,0,0,0,0,10.8,0,1.96,0,0,0.98,3.93,0.98,24.54,0,0,0,0,0,0,0,5.89,0.98,0,0.98
 72-82,0,0,0,0,0,6.87,0,0,0,0.98,0,7.85,0.98,26.5,0,0,0,0,0,0,0,0.98,0,0,0
 84-94,0,0,0,2.12,0,10.62,0,0,1.06,0,0,6.37,0,8.5,1.06,1.06,0,0,3.19,0,0,1.06,1.06,0,0
 96-106,0,0,0,1.09,0,3.28,0,1.09,0,0,1.09,2.19,0,7.65,0,0,0,0,0,0,0,1.09,0,0,0
108-118,0,0,0,1.53,0,3.83,0,2.3,0,0,0,2.3,0,13.79,0,0.77,0.77,0,0,0,0,0.77,0,0,0
120,0,0,0,1.96,0,7.84,1.96,0,0,0,0,5.88,0,7.84,0,0,0,0,0,0,0,0,0,1.96,0
