stage,blastomeres,epidermis,erythrocytes,eye,fin_epithelia,glial,immune,mesenchyme,mucous,mural_cell,muscle,neural,periderm,spinal_cord,vasculature
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,1,0,0,0,0,0,3,1,2,0
 24-34,0,0.82,0,1.64,0,0,0,0.82,0,0,0.82,7.39,0,1.64,1.64
 36-46,0,0,0,2.42,0,0,0,0,0,0,0.81,2.42,0,1.61,0
 48-58,0,0.57,0,1.72,0,0.57,0,0,0.57,0,0,6.89,0,0,0
 60-70,0,0,0,2.94,0,0,0,1.96,0,0.98,0,9.82,0,0,0
 72-82,0,0,0,2.94,0,0,0,0.98,0,0,0,12.76,0,0,0
 84-94,0,0,0,2.12,0,0,1.06,0,0,0,0,3.19,0,0,0
 96-106,0,0,0,3.28,0,1.09,0,1.09,0,0,0,3.28,0,1.09,0
108-118,0,0,0,2.3,0.77,0,0,1.53,0,0,0.77,3.83,0,0,0
120,0,0,1.96,3.92,0,1.96,0,0,0,0,0,11.76,0,0,0
