stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,9.44,0,0,0,3.15,0,3.15,0,0,0,0,0,0
 14-21,0,0,1,4,2,0,7,0,0,0,1,0,0,0,0,0,0,0,0,21,0,0,13,37,1,0,0,0,0,1,32,0,2,1374,18,0,0,0,0,0
 24-34,0,0,0,2.46,0,0,13.95,29.55,0,0,0.82,0,0,0.82,0.82,0.82,0,0,0,27.09,0,0,13.13,134.62,1.64,19.7,0.82,0,0,0.82,1.64,0,0,398.94,132.98,0,0,2.46,0,0.82
 36-46,0,0,0,2.42,0.81,0,27.39,59.62,0,0,1.61,0.81,0,4.03,0,2.42,0,0,0,14.5,0,1.61,16.92,140.99,0,15.31,0,0,0,3.22,0,0,0,8.86,161.94,0,0,0,0,1.61
 48-58,0,0,0,0.57,0.57,0,74.59,54.51,0,0.57,16.07,0.57,0.57,12.05,0,0.57,0,0,0,24.1,0,0,24.1,213.46,0,8.03,0.57,0,0,2.87,0,0,0.57,0,143.45,0,0,1.15,0,1.15
 60-70,0,0,0,2.94,0,0,89.32,54.97,0,0,5.89,0.98,0,24.54,0,1.96,0,0.98,0.98,11.78,0,0.98,30.43,227.71,0,2.94,1.96,0,0,3.93,0,0,0.98,0,82.45,0,0.98,0.98,0,0.98
 72-82,0,0.98,0,1.96,0.98,0,85.4,29.45,0,0.98,7.85,3.93,0,38.28,0,0,0.98,1.96,0,22.58,0.98,0,32.39,173.75,0,6.87,0.98,0,0.98,20.61,0,0,0.98,0,47.12,0,2.94,1.96,0,0.98
 84-94,0,0,0,6.37,3.19,0,49.92,22.3,2.12,0,9.56,1.06,0,40.36,0,1.06,0,0,1.06,9.56,0,0,33.99,88.15,0,5.31,1.06,0,0,30.8,0,0,1.06,0,32.92,1.06,2.12,2.12,0,0
 96-106,0,0,0,4.37,2.19,0,44.81,54.64,3.28,0,8.74,0,0,53.55,0,0,0,2.19,1.09,12.02,2.19,0,26.23,96.17,0,14.21,3.28,0,0,46.99,0,0,1.09,0,5.46,0,1.09,0,1.09,1.09
108-118,0,0,0,3.83,1.53,0.77,31.4,40.6,0.77,1.53,13.02,0,0,33.7,0.77,3.06,1.53,0.77,0,6.89,2.3,0,44.43,76.6,0,8.43,1.53,0,0,40.6,0,0.77,0.77,0,9.19,0.77,0.77,1.53,0.77,0.77
120,0,0,0,7.84,0,0,48.99,45.08,3.92,1.96,21.56,5.88,0,35.28,1.96,3.92,3.92,0,0,11.76,1.96,0,60.75,96.03,0,9.8,1.96,0,0,35.28,0,1.96,0,0,19.6,0,0,0,1.96,0
