stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,1541.82,23944.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1106.95,0,0,0,0,0,0,0,0,0,0,0
  5-6,1869.54,21275.96,0,24.52,0,0,0,0,0,0,0,0,0,79.69,0,0,0,0,0,0,0,0,0,0,0,576.19,67.43,0,0,183.89,508.76,0,0,0,0,0,0,0,0,0,0,0
  7-9,191.9,162.98,0,312.82,0,0,0,212.93,0,0,0,0,0,181.38,0,0,0,0,0,0,0,0,0,0,0,4316.35,107.78,0,0,1642.95,10.51,55.2,0,0,0,0,0,0,0,0,0,0
 10-12,0,9.44,0,18.88,0,0,0,15.73,0,0,0,0,0,6.29,0,0,0,0,0,6.29,0,0,0,0,0,217.14,6.29,0,0,91.26,0,44.06,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,0,2,27,2,0,11,0,1,0,3,0,0,3,0,1,0,0,25,4,13,0,0,11,296,4,1,205,2,1,10,21,2,34,1370,60,0,0,1,0,0
 24-34,0,0,0,0,4.1,0,0,10.67,0,0.82,0,26.27,0,0,8.21,0,4.93,0,1.64,5.75,3.28,22.98,0.82,0,14.78,296.33,2.46,9.85,164.99,0.82,1.64,0,3.28,0,1.64,459.68,18.06,0,0,3.28,0,1.64
 36-46,0,0,0.81,0,1.61,0,0,105.54,1.61,0.81,1.61,151.47,0.81,1.61,7.25,0.81,6.45,0,2.42,0.81,1.61,46.73,0,0,33.84,284.4,0.81,22.56,92.65,0,0.81,3.22,0.81,0.81,0.81,13.7,52.37,0,0,2.42,0,3.22
 48-58,0,0,0,0,1.15,0,0,187.63,6.89,0.57,1.72,365.51,0,0,5.16,0,3.44,0,2.3,5.16,3.44,110.74,1.15,0,99.27,226.08,0.57,16.64,80.91,0,0,0.57,0,0,0,0,115.91,0,0,2.87,0,3.44
 60-70,0.98,0,0,0,3.93,0.98,0,351.38,17.67,0.98,2.94,621.3,0,0,11.78,0.98,5.89,0.98,0,5.89,2.94,186.49,0,0,89.32,202.19,0,19.63,58.89,0,1.96,0,0,0,1.96,0,56.93,0,0.98,0,0,4.91
 72-82,0,0,1.96,0.98,14.72,2.94,0.98,698.94,15.71,3.93,6.87,1055.29,5.89,0,20.61,3.93,7.85,1.96,4.91,6.87,0.98,289.59,1.96,3.93,128.6,341.62,0.98,54.97,128.6,0,1.96,0,0,0.98,0,0,36.32,0.98,5.89,7.85,0,4.91
 84-94,0,0,0,0,27.61,0,1.06,503.41,13.81,2.12,4.25,750.86,2.12,0,15.93,1.06,12.74,7.43,7.43,2.12,3.19,212.41,3.19,3.19,132.75,233.65,1.06,38.23,144.44,0,8.5,0,0,0,2.12,0,36.11,2.12,2.12,9.56,5.31,4.25
 96-106,0,0,0,0,61.2,5.46,1.09,606.53,19.67,8.74,1.09,978.1,5.46,0,36.06,5.46,14.21,6.56,10.93,4.37,0,173.76,2.19,4.37,146.44,300.53,3.28,87.43,171.58,0,14.21,0,0,0,2.19,0,15.3,0,1.09,15.3,3.28,1.09
108-118,0,0,0,0,19.92,2.3,0,489.45,13.02,4.6,0,864.01,3.06,0,22.98,4.6,13.79,4.6,9.96,2.3,6.89,106.47,0.77,3.06,172.34,308.68,2.3,49.79,160.09,0,4.6,0,0,0.77,3.06,0,20.68,3.06,7.66,13.79,2.3,4.6
120,0,0,0,0,19.6,7.84,1.96,327.28,11.76,3.92,1.96,813.31,1.96,0,13.72,1.96,9.8,5.88,9.8,1.96,1.96,72.51,0,3.92,184.22,293.97,1.96,21.56,92.11,0,7.84,0,0,0,1.96,0,17.64,0,7.84,7.84,0,1.96
