stage,endocrine.pancreas,epidermis,eye,fast.muscle,fin.epithelia,glial,gut,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,periderm,somites,spinal.cord,taste,vasculature,xanthophores
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0
 24-34,0,0.82,0,0,0,0,0,0,0,0,0,0,0.82,0,0,9.85,0,0,0,2.46,0,0,0,0,0
 36-46,0,0.81,2.42,0.81,0,0.81,0,0,0,0,0,0,0.81,0,0.81,8.86,0,0,0,3.22,0,2.42,0,0,0
 48-58,0,1.15,2.87,0,0.57,0.57,0,0,0,0,0,0,2.3,0,0,7.46,0.57,0,0,0.57,0,2.3,0,0,0
 60-70,0,0,6.87,0,0.98,0.98,0,0,0,0,0,0,0.98,0,0.98,17.67,0,0,0,4.91,0,0.98,0,0,1.96
 72-82,0,0,0.98,0,0,3.93,0,1.96,0,0,0,0,0.98,0,0,9.82,0,0.98,0.98,4.91,0,0.98,0,0.98,0
 84-94,1.06,2.12,0,0,3.19,0,0,1.06,0,0,0,1.06,2.12,0,0,4.25,0,0,1.06,12.74,0,0,0,0,0
 96-106,0,3.28,1.09,0,0,0,0,2.19,0,0,1.09,0,2.19,0,1.09,2.19,0,0,0,27.32,0,0,0,0,0
108-118,0,1.53,2.3,0,0,0.77,0.77,0.77,0,0,0,0,2.3,0.77,1.53,7.66,0,0,0,13.02,0,0,1.53,0,0
120,0,3.92,0,0,1.96,0,0,0,1.96,3.92,0,1.96,0,0,0,5.88,0,0,0,11.76,0,0,0,0,0
