stage,blastomeres,epidermis,eye,glial,heart,immune,mesenchyme,mucous,muscle,neural,periderm,spinal.cord,vasculature
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,3.15,0,0,0
 14-21,0,0,0,0,0,0,0,0,1,1,0,0,0
 24-34,0,0,0,0,0,0,0.82,0,0,3.28,1.64,1.64,1.64
 36-46,0,0,4.83,0.81,0,0,0.81,0.81,0,8.86,0,2.42,0
 48-58,0,0,6.31,0,0.57,0,1.72,0,0,12.05,0,2.3,0.57
 60-70,0,0,6.87,0.98,0,0,0.98,0,0,7.85,0,1.96,0
 72-82,0,0.98,7.85,0.98,0.98,0,1.96,0,0,7.85,0.98,0,0
 84-94,0,1.06,2.12,1.06,0,0,0,0,0,3.19,1.06,0,0
 96-106,0,1.09,1.09,1.09,0,0,4.37,0,0,4.37,0,2.19,0
108-118,0,1.53,1.53,0,0,0.77,0.77,0,0,2.3,1.53,0,0
120,0,0,3.92,1.96,0,0,0,0,0,5.88,0,0,0
