stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,6.29,0,0,0,0,3.15,0,0,0,0,0,0
 14-21,0,0,3,7,1,4,0,0,0,1,0,0,0,0,0,0,0,0,0,5,0,0,5,34,0,0,1,0,1,1,0,0,6,11,0,0,0,0,0
 24-34,0,0,0,4.1,0.82,18.06,0,0.82,0,2.46,0,0,0.82,0,0.82,0,0,0,0,12.31,0,0,5.75,579.52,3.28,2.46,0,0,1.64,0,1.64,0.82,4.93,98.5,0,0,2.46,0,0.82
 36-46,0,0,0,2.42,0.81,20.95,0.81,0,0.81,58.81,0,0,0,0,0,0,0,0,0,23.36,0,0,7.25,1451.01,1.61,3.22,0.81,0,2.42,0,0,0,0,286.01,0,0,1.61,0,0.81
 48-58,0,0,0.57,1.15,0,48.2,0,0.57,0.57,110.74,0,0.57,2.3,0.57,0,0.57,0.57,0,0,32.71,0,0.57,9.18,891.69,0,0.57,1.15,0,4.02,0,0,0,0,272.56,0,0,2.3,0,1.15
 60-70,0,0.98,0,0,0.98,38.28,0,0,1.96,80.48,0,0,2.94,0,0,0.98,0.98,0,0,34.35,0,0,5.89,387.7,0.98,0,0.98,0,1.96,0,0,0.98,0,98.15,0,0.98,1.96,0,0
 72-82,0,0,0,2.94,0.98,40.25,0.98,0.98,3.93,60.86,0,0,4.91,0,0,0.98,0,0,0,41.23,0.98,0,4.91,209.09,0.98,0,2.94,0,0.98,0,0.98,0,0,31.41,0.98,4.91,2.94,1.96,0
 84-94,0,1.06,0,2.12,0,27.61,1.06,2.12,2.12,30.8,0,0,2.12,2.12,1.06,0,0,0,0,28.68,1.06,3.19,3.19,108.33,1.06,0,2.12,0,1.06,0,1.06,0,0,26.55,2.12,1.06,2.12,2.12,1.06
 96-106,0,0,0,3.28,3.28,12.02,2.19,0,3.28,36.06,2.19,0,1.09,1.09,1.09,0,0,1.09,1.09,19.67,0,3.28,7.65,86.33,1.09,2.19,2.19,0,1.09,0,0,0,0,13.11,2.19,0,3.28,0,0
108-118,0,0,0,4.6,0,19.92,0,0.77,0.77,36,0,0,0.77,2.3,0,1.53,0.77,0.77,0.77,15.32,0,0,3.83,94.21,0.77,0,0.77,0,1.53,0,0,0,0,6.89,0.77,0,4.6,0,0
120,0,0,0,7.84,1.96,11.76,1.96,0,0,23.52,0,0,1.96,3.92,0,0,1.96,0,0,13.72,0,0,5.88,78.39,1.96,1.96,1.96,0,0,0,0,0,0,3.92,0,0,3.92,0,0
