stage,blastomeres,endocrine.pancreas,epidermis,exocrine.pancreas,eye,fin.epithelia,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,15.77,0,0,0,13.14,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.03,3.15,0,0,9.44,0,0,3.15,0,0,0,0,0
 14-21,0,0,6,0,2,0,0,0,0,0,0,0,0,0,0,3,0,1,9,0,0,0,1,0,2,0,1,4,0,0,0
 24-34,0,0,1.64,0,5.75,0,0,0,0,0.82,0,0,0,0,0,7.39,0,2.46,28.73,0,0,1.64,0,0,0,0,0.82,3.28,0,0,0
 36-46,0,0,0.81,0,6.45,0,5.64,0,0,0,0,0,0.81,0,0,8.06,0,0.81,41.09,0,0.81,0.81,0,0,0,0,0,2.42,0,0,0
 48-58,0,0,1.15,0,7.46,0,4.02,0.57,0,0.57,0,0,0,0,0,4.02,0,0.57,19.51,0,0,0,0,0,0,0,0,1.72,0,0,0
 60-70,0,0,0.98,0,9.82,0.98,4.91,0,0,0,0,0.98,0,0,1.96,9.82,0,0,9.82,0,0,0,0,0,0,0.98,0,0.98,0.98,0,0
 72-82,0,0.98,0,0,10.8,0,10.8,0.98,0,0,0,0,0,0,0,20.61,0,0,9.82,0,0,0,0,0,0,0,0,1.96,1.96,0,2.94
 84-94,0,2.12,1.06,0,4.25,0,1.06,1.06,0,0,2.12,0,0,0,1.06,4.25,1.06,0,4.25,0,0,2.12,0,0,0,0,0,0,0,0,0
 96-106,0,0,2.19,0,4.37,0,2.19,2.19,0,0,3.28,0,0,1.09,0,8.74,0,0,4.37,0,0,1.09,0,0,0,1.09,0,0,0,0,1.09
108-118,0,0,2.3,0.77,4.6,0,4.6,0,0,0,0,0,0,0,0.77,9.19,0,0,4.6,0,0.77,3.06,0,0,0,0,0,1.53,0,0.77,0
120,0,1.96,3.92,0,0,0,3.92,0,0,1.96,0,0,0,0,3.92,5.88,0,0,7.84,0,0,0,0,0,0,0,0,1.96,0,1.96,0
