stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.mesenchyme,glial,gut,heart,lateral.line,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,6.29,0,0,0,3.15,0,0,0,0,0
 14-21,0,0,1,0,2,0,0,0,0,0,0,8,0,0,5,18,0,0,0,1,1,0,2,8,0,0,0
 24-34,0,0.82,1.64,2.46,3.28,0,0,0,0.82,0,0,4.93,0.82,0,1.64,10.67,0,0,0,0,0,0,0,4.93,0,0,0
 36-46,0,0,0,0,0,0,3.22,0.81,0,0,0,1.61,0,0,3.22,8.06,0,0,0,0,0,0,0,2.42,0,0,0
 48-58,0,0,0,0,0,0,1.72,0,0,0,0.57,5.16,0,0,2.3,4.02,0,0,0,0,0,0,0,0.57,0,0,0
 60-70,0,0,0,0,0.98,0,1.96,0,0.98,0,0,14.72,0,0,1.96,3.93,0,0,0,0,0,0,0,0,0.98,0,0
 72-82,0,0,0,0,0.98,1.96,1.96,0,0,0.98,0,13.74,0,0,0.98,5.89,0,0,0,0,0,0,0,0,0,1.96,0
 84-94,0,0,0,0,1.06,2.12,1.06,0,0,0,0,5.31,0,1.06,0,1.06,1.06,0,0,0,0,0,0,2.12,0,0,0
 96-106,0,0,1.09,0,1.09,1.09,1.09,0,0,0,0,5.46,1.09,0,0,0,0,0,1.09,0,0,0,0,0,0,0,1.09
108-118,0,0,0,0,0.77,0.77,0.77,0,0,0,0,3.06,0,0,0,2.3,0,0,0,0,0,0,0,0,0,0,0
120,0,0,0,0,7.84,0,0,0,0,0,0,3.92,0,0,0,5.88,0,0,0,0,0,0,0,0,0,0,0
