stage,eye,glial,iridophores,melanocytes,mesenchyme,mural.cell,muscle,neural,olfactory,paraxial.mesoderm,spinal.cord,vasculature,xanthophores
 14-21,0,0,0,0,1,0,0,1,0,1,1,0,0
 24-34,0,0,0.82,0,0.82,0,0,4.1,0,0,0.82,0,0
 36-46,0,0,0,0,0.81,0,0.81,12.89,0.81,0,0.81,0,0.81
 48-58,1.15,0.57,0,0,0.57,0,0,8.03,0,0,1.72,0.57,0
 60-70,0.98,0,0,0,1.96,0,0,9.82,0,0,0.98,0,0
 72-82,2.94,0.98,0,0.98,0,0.98,0,6.87,0,0,1.96,0,0
 84-94,5.31,0,0,0,0,0,0,3.19,0,0,1.06,1.06,0
 96-106,1.09,1.09,0,0,1.09,0,0,3.28,0,0,0,0,0
108-118,1.53,0,0,0,0.77,0,0,4.6,0,0,0.77,0,0
120,1.96,0,0,0,1.96,0,0,7.84,0,0,0,0,0
