stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,65.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,36.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,2.63,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,10.51,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.18,6.29,0,0,31.47,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,13,4,0,0,0,1,0,0,0,0,0,0,0,0,0,8,0,14,17,0,0,0,2,0,0,2,4,0,18,11,0,1,0,1
 24-34,0,0,0,4.1,2.46,1.64,1.64,3.28,0.82,0,0,1.64,0.82,0,0,0,0,0,36.12,0,35.3,13.13,0.82,0,1.64,0,0,0,0,0,3.28,0.82,2.46,0,0.82,0,0
 36-46,0,0,0,3.22,0,0,0,0.81,1.61,0,0,0,0,0,0,0,0,0.81,54.79,0,17.72,4.03,1.61,0,2.42,0,0,0,0.81,0,0.81,0,2.42,0,0,0,0
 48-58,0,0,0,1.15,0,2.3,0,2.3,1.15,0,0,1.15,0.57,0,0,0,0,0,59.1,1.15,10.9,7.46,0.57,0,1.72,0,0,0,0,0,0,0,1.15,1.72,0,0,0
 60-70,0,0,0,0,0,10.8,0.98,1.96,3.93,0,0,0.98,0.98,0,0,0,0,0,95.21,3.93,8.83,5.89,0,0,0,0,0.98,0,0,0,0,0,0.98,0.98,0.98,0.98,0.98
 72-82,0,0,0,1.96,0.98,35.34,0,2.94,1.96,0,0,0.98,0.98,0,0,0.98,0,0,154.12,6.87,20.61,5.89,0,0,2.94,0,2.94,0,0,0,1.96,0,1.96,8.83,3.93,11.78,0
 84-94,0,0,0,9.56,0,24.43,3.19,5.31,6.37,0,0,0,5.31,0,1.06,1.06,1.06,0,99.83,1.06,8.5,6.37,1.06,0,1.06,0,1.06,0,0,0,2.12,0,0,5.31,6.37,5.31,0
 96-106,0,0,0,2.19,1.09,36.06,2.19,3.28,5.46,1.09,0,1.09,1.09,1.09,0,1.09,1.09,0,55.74,8.74,8.74,13.11,0,0,7.65,0,3.28,2.19,0,0,0,0,2.19,2.19,4.37,9.84,0
108-118,0,0,0,5.36,0.77,27.57,0,3.06,2.3,2.3,0,0,3.06,0,0,0,0,0.77,80.43,3.06,6.89,8.43,0,0.77,6.89,0,2.3,0,0,0,2.3,0,0.77,2.3,2.3,7.66,0
120,0,0,0,13.72,1.96,25.48,1.96,0,1.96,3.92,0,0,1.96,0,0,0,0,0,54.87,7.84,5.88,1.96,1.96,0,1.96,0,3.92,0,0,0,5.88,0,1.96,5.88,5.88,13.72,0
