stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.77,2.63,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,0,6.29,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,12.59,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,4,1,0,2,0,0,0,1,0,1,0,0,0,0,2,0,1,0,0,5,8,1,0,1,0,0,4,1,2,0,0,1,7,0,0,0,0,0
 24-34,0,0,0,8.21,0,0,9.85,0,0,0.82,0.82,0.82,0,0,0,0,0.82,0,0.82,14.78,0,0,6.57,44.33,1.64,4.1,0.82,0,0,43.51,0,0,0,0,0.82,16.42,0,0,3.28,0,0
 36-46,0,0,0,3.22,0,0,7.25,0,2.42,0.81,1.61,0.81,0,0,0.81,0,0.81,0,0,12.89,0.81,0,3.22,45.92,2.42,0.81,3.22,0,0,32.23,0,0,0,0,0,9.67,0,0,1.61,0,0.81
 48-58,0,0,0,2.3,0.57,0,17.79,0,1.72,0.57,7.46,0,0,0,0,0,0,0,0.57,30.41,0.57,0.57,2.87,29.84,1.15,1.15,2.87,0.57,0,20.08,0,0,0,0,0,11.48,0,0,1.15,0,1.72
 60-70,0,0,0,3.93,0,0,23.56,1.96,2.94,0.98,9.82,0,0,0,0.98,0,0,0,0,20.61,0.98,0.98,2.94,29.45,0,1.96,0.98,0,0,12.76,0,0,0,0.98,0,10.8,0.98,1.96,0.98,0,0
 72-82,0,0,0,1.96,0.98,0.98,26.5,0,0,0.98,15.71,0.98,0,1.96,0.98,0,0.98,0.98,0,50.06,0,0,3.93,40.25,2.94,2.94,2.94,0,0,11.78,0,0,0,0,0,2.94,0,0.98,0,0.98,0
 84-94,0,1.06,0,9.56,0,0,28.68,1.06,3.19,1.06,8.5,3.19,0,0,3.19,3.19,0,1.06,0,27.61,1.06,3.19,2.12,21.24,2.12,2.12,3.19,0,0,20.18,0,0,0,0,0,2.12,0,0,2.12,3.19,0
 96-106,0,1.09,0,4.37,0,1.09,18.58,1.09,1.09,1.09,4.37,4.37,0,1.09,3.28,1.09,3.28,0,0,21.86,2.19,1.09,6.56,27.32,3.28,1.09,0,0,1.09,19.67,0,0,0,0,0,0,0,0,3.28,2.19,0
108-118,0,0,0.77,6.13,0,2.3,17.62,0.77,1.53,0.77,7.66,1.53,0,0,1.53,0,2.3,1.53,0.77,16.09,0,0,1.53,32.17,0.77,2.3,4.6,0,0,6.13,0,0,0,0,0,0.77,0,0,0,0.77,2.3
120,0,1.96,0,17.64,1.96,0,11.76,0,0,1.96,9.8,1.96,0,0,1.96,0,0,0,0,9.8,0,0,1.96,39.2,1.96,1.96,5.88,0,0,5.88,0,0,1.96,1.96,0,3.92,0,0,1.96,0,0
