stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,10.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,28.32,0,0,0,0,0,0,0,0,0,28.32,3.15,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,3,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0
 24-34,0,0,0,0,0,5.75,0.82,0,0,0,0,0,0,0,0,0,0,0,0.82,0,0,18.06,2.46,0,0,0,0,0.82,0,0,0,3.28,0,0,0,0,0
 36-46,0,0,0,0,0,26.59,0.81,0,0,1.61,0,0,0,0,0,0,0,0,3.22,0,0,30.62,0,0,0,0,0,0.81,0,0.81,0,0.81,0,0,0,0,0.81
 48-58,0,0,0,0,0,140.58,0,0.57,0,3.44,0,0,0,0,0,0,0,0,3.44,0,0,30.99,0,0,0,0,0,1.72,0,0,0,4.59,0,0,0.57,0,0
 60-70,0,0,0,0,0.98,498.61,0,0,0,5.89,0,0,0,0,0,0,0,0,8.83,0.98,0,37.3,0,0,0,0,0,0.98,0,0,0,5.89,0,0,0,0,0
 72-82,0,0,0.98,2.94,4.91,587.03,0,0,0.98,20.61,0,0,0,1.96,0,0.98,0,0,10.8,0,0,61.84,0,0.98,0.98,0,0.98,1.96,0,0,0,3.93,0.98,0,0.98,2.94,0.98
 84-94,0,0,0,7.43,1.06,403.57,1.06,0,0,12.74,1.06,0,0,0,0,1.06,0,0,7.43,0,0,45.67,0,0,1.06,0,0,2.12,0,0,0,2.12,0,1.06,0,1.06,0
 96-106,0,0,0,3.28,1.09,378.12,0,0,0,12.02,0,0,2.19,2.19,0,0,0,0,6.56,0,2.19,43.71,0,1.09,0,0,0,2.19,0,0,0,1.09,0,0,0,0,0
108-118,0,0.77,0,1.53,2.3,268.85,0,0,0,4.6,0,0,0,3.06,0.77,0.77,0.77,0,5.36,0,0,31.4,0.77,0,0.77,0,0,1.53,0.77,0,0,0.77,0,0,0.77,0.77,0
120,0,0,0,0,0,184.22,0,0,0,9.8,1.96,0,0,1.96,0,0,0,1.96,0,0,1.96,25.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
