stage,epidermis,erythrocytes,eye,fin.mesenchyme,glial,gut,immune,iridophores,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature
 14-21,4,0,2,0,0,0,0,0,0,2,0,1,25,0,0,0,0,3,1,4,15,0
 24-34,0.82,0.82,9.03,0.82,0,0,0,0,0,4.93,0,1.64,38.58,0,0,0,1.64,0,0,1.64,9.85,0.82
 36-46,0.81,0.81,2.42,0,2.42,0,0,0,0,6.45,0.81,0.81,33.03,0,0.81,0,0,0,0,0,8.86,0
 48-58,0,0,8.61,0,1.15,0,0,0.57,0,2.87,0.57,0.57,22.38,0,0,0,0,0,0,0,4.02,0
 60-70,0.98,0,12.76,0,1.96,0,0,0,0,4.91,0,0,16.69,0.98,0,0,1.96,0,0,0,0,0.98
 72-82,1.96,0,3.93,0,1.96,0,0.98,0,0,7.85,0,0.98,8.83,0,0.98,0.98,0,0,0,0,0,0
 84-94,3.19,0,4.25,0,2.12,0,0,0,0,2.12,0,0,6.37,0,0,1.06,0,0,1.06,0,0,0
 96-106,1.09,0,2.19,0,1.09,0,0,0,0,3.28,0,2.19,2.19,0,0,2.19,0,0,0,0,0,1.09
108-118,1.53,0,2.3,0,2.3,0.77,0,0,0,4.6,0,0.77,6.89,0,0,0.77,0.77,0,0,0,0,0.77
120,1.96,0,5.88,0,1.96,0,0,0,1.96,3.92,0,1.96,7.84,0,1.96,0,3.92,0,0,0,0,0
